Challenge,Interview,Interview Quotes,Abstracts
46,12,"I actually strongly encourage students to read it, but I know that they don't.

 So part one is the three ways, just give you an overview of the, each of the three way. And then you have one part essentially for each of the three ways. And I think that the first two parts of the book you can find online, but, but not, not as a, someone who puts it in PDF, but from the publisher, from, from revolution, publisher and official version. So you can read it from the way.","The students don't read the suggested book even if you strongly encourage them.

Students tend to get short free versions and not full versions of books."
47,6,"There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.","The DevOps concepts collaboration, communication and organization are difficult to assess due to the high degree of subjectivity."
48,7,"There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.

The teaching plan, where I am going to start, where I am going to go, what is next. So, structuring this sequence of subjects to be covered, of how you are going to connect the subjects, which is the hardest part.","Difficulty in structuring the learning journey.

Difficulty to create a teaching plan, especially connecting the covered subjects."
49,7,"team of monitors [...] If you don't have it, it gets heavier, it's more difficult, you alone evaluate. Take a class with forty students, even if you divide it into teams, it's a lot for you to evaluate.",Large class assessment requires great effort.
50,7,"the real challenge was when I started doing it, which I didn't have any. Then, building from scratch is more difficult, there is no baseline. [...] [...] these types of challenges, they are more related to the nature of the subject, not the object, that is: what type of content, how will you conduct this course, how will you want to conduct the discipline.",Difficulty in setting up classes without a prior reference ones.
50,12,"I didn't find any course, really I was looking for courses in devops, like yes, there were courses that talk about kubernetes that these, yes. There are courses that talk about, uh, integrated testing. Yes. There are courses. We talk about AWS and cloud, but I didn't find any course on devops that I can two years ago that I'm almost like three years ago now when I started to work on it, um, use as a basis. Right. So the first semester was a nightmare. 

In 2018, 2019, and yet no universities have a program in DevOps, no universities, essentially very few universities have a course in DevOps.","It isn't easy to create a DevOps course without having another course as a reference.

Few universities have a DevOps course."
50,14,"If you want to teach devops, it's really difficult to find, uh, supports, like finding a way to understand how it's towards elsewhere. It's really complicated because there's not a lot, of course that grant themselves as DevOps, basically because it's often hidden because it's something technical you're not supposed to teach.",It's really difficult to find supports if you want to teach DevOps.
51,7,"This teaching plan is not and should not be completed, right? He doesn't have it, he's never ready. ... Things change too fast, the focus changes too fast.",Rapid and constant changes in DevOps make it difficult to create a teaching plan.
52,7,"""DevOps ends up forcing you to tap into a lot of other universes, right? Especially if you go into project as an evaluation method. So, that's another big challenge, you keep an eye out for what's going on, which can be correlated and which you can bring as an open scope to be worked also in the discipline, with this type of direction. Which in my case, comes AI student, Bank student, Software Engineering student, pay for the post, and that then you can't just stay in the context of developing software, delivering software on DevOps, right? There's a whole other context of things related, for example, to operation, infrastructure analysis, learning, prediction, and so on.",Difficulty in linking DevOps classes with other subjects of interest to students.
53,8,"There are several environments in the cloud, but they all cost money.",Environment set up in a cloud service cost money.
54,8," However, last semester eight of my students showed up with apple, M one Silicon Macs and they don't run VirtualBox because VirtualBox only runs on Intel. It's not an emulator. It is a virtualizing layer, right? It needs an Intel CPU in order to virtualize. Um, and so I had to change the class for them to use Docker and VirtualBox. ",VirtualBox has limitation in MacOS.
55,8,You have to find a set of tools that work together.,You have to find a set of tools that work together.
55,9," For many people, getting them all to work together can be particularly challenging.","For many people, getting all technologies to work together can be particularly challenging."
56,8,"A big challenge is students learning to be, um, to be agile working as a team pair programming. 

Lot of those concepts are hard to teach in a classroom setting.

That's kind of challenging getting them to be agile, getting them to think agile, get into think minimum viable product, right.","It is difficult to students learning agile techniques like pair programming.

A lot of agile concepts are hard to teach in a classroom setting.

It's challenging the students to be and to think agile into mininum viable product."
56,10,How do you work in sprints?,It is difficult how to organize each sprint.
57,08,"Are they following the process? Not, did they get the work done in the end? That's not the important part is did they learn the process and follow it? And did they learn from it? So that's, it's kind of challenging.",It is challeging to verify if the students learn the devops process of working.
58,8,Doing a hands-on class with that many (45) students is just physically challenging.,Doing a hands-on class with that many (45) students is just physically challenging.
59,9,"You have a clean compile, you've tested your code and it meets the functional requirements. And that's the end of the story. But as we know, you know, even from software development,[...] it doesn't end once the software is built and once it's passed testing, then it goes into this entire operational stage. We tend to ignore it. And I don't think we ignore it deliberately. We ignore it because it's hard",Teach operational activities is ignored because it is hard.
60,9,That is a lot of the devops principles that come into play. ,Many devops concepts need to be taught.
61,9,It is very dangerous to teach too many tools because it's simply conveys that it is a very technology centric approach.,It is very dangerous to teach too many tools because it conveys that DevOps is a very technology centric approach.
62,9,"A lot of the folks who are attending the course are not at a level in the organization where they can actually affect culture [...] they are usually technologists and so they can very easily understand how they can affect things like technology decisions and the application of technology. But many of them are not, let's say at manager or director or senior director VP levels or things like that will, they can actually affect more senior levels of challenge there.",Students are not at a level in the their companies where they can introduce DevOps mindset.
63,09,"It can be a little harder garner garnering some of that same thing from, from industry, you know, unless you happen to find reasonably wit reasonably written, uh, white papers or, or things along those lines.",It is hard to find strategies from industry unless if it written in a paper.
64,09,"I have tended to get much more forgiving on how I, for example, grade this particular course, I used to be one of those folks. You know, you, you do the assignment and then you get a grade for the assignment. And at the end of the day, and this is not just devops it's it's for other courses as well. At the end of the day, I'm way more concerned. They're able to get stuff working and that you understand why we're doing it.",Task done by students do not means that students learned correctly.
65,9,"The challenge of course, is newer students obviously have more than enough to worry about just getting code wrong and compile. Uh, but that's, that's the reality, unfortunately, is the code just doesn't run a compile on a laptop, right? It runs out in production and it's serving real people. And in this day and age, there is, there is stuff that goes with that. And the more folks understand, at least some of the sooner, the better I hope the software will be.","It is difficult for students to understand the importance the software running in production, not just compiling."
66,10,"Human challenges are when you start teaching DevOps, it doesn't look serious.

So one of the challenges regarding the culture, if you want, is that when you tell them that initially they don't believe it. And only when they start doing it, they do believe it. 

Whatever they found it valuable usually, um, after the class is done at the end of the year, they don't always see the value. It's the kind of class where you want them to know this stuff, because once they will be in the industry, they'll need it every day. Um, but they don't know they need it every day.","When you start teaching DevOps, it doesn't look relevant.

Students only believe the importance of DevOps mindset when they experiment in the practice.

Students do not know that they will need DevOps concepts at industry every day."
66,14,"An undergrad program, it's also something complicated because it's teaching at the undergrad program might make sense, but then it's other kinds of challenges like younger students who might not be interested in this.",Young undergraduate students can have no interest in DevOps course.
67,10,"When you do continuous integration, you need to have a logical base. You need to have a lot of people committing in the code changes often. Um, you need to have a lot of machines. You have the machines where people are coding. You have the machines that are building, you have the machines that are the way you run your database. You have the machines where you deploy to. ... you need a lot of machines interconnected, um, with visibility on each other that they can get to.",You need a lot of interconnected machines running different services with visibility on each other to do continous deployment.
68,10,"Uh, so that's a practical challenge that when you want to put it in place, and as a teacher, you want to be able to log into all of those machines to see what they're doing.",It's hard to supervise students' work when you use a lot of virtual machines.
69,10,"It's hard for them to see all the values, layers of source side, real shoes, deployment side. They have a tendency because the students write code clicky works done, right? And it's hard to teach them that no wanting code somewhere.",It's hard for students to see the values of deployment side and they don't want to do operational activities.
70,10,"What is hard is to be prepared with, um, a technology stack that is robust and simple or very simple so that you know exactly what you look when you help them debug.",It is hard to prepare a robust and simple technology stack.
71,10,It's mostly the preparation of the exercise that is demanding.,The preparation of the exercise is demanding.
71,11,"That's one of the challenge that I find in preparing proper courses, finding and implementing an application, creating some issues in it, some bugs in it.",It is laborious to prepare the exercise that the students will work.
72,10,"Um, but then the preparation for the class itself was a concept class. That's, I've done that. Um, and then adjust, but it's no more difficult than any other class. It depends what you know, and what you do as a job. Right? And that's part of my job to do it. So I feel comfortable",Teach DevOps requires much knowledge from the professor who could not be familiar with it.
73,10,"I check out the code of every group. And I look at the commits who has done what I look at. How has it been coded, easy to blatant copy paste of somebody else's code? Is it innovative? I run all the scripts. I ask them to provide me with scripts that are portable, that will run on my computer. Um, and there has to be a bill script or run script, uh, scenario, script, et cetera. And I run them on my computer. It takes four it's very long. Uh, but it's an effective way of checking what they've done.",It is arduous to analyse the code and run scripts for each project.
74,10,"We show them Kubernetes, um, but they don't really have time to practice on Kubernetes.",They don't have time to practice on Kubernetes because it is lot of work.
75,11,"And as I said, we, students are doing other things. So this means we are limited in what we can ask them.",There is a limitation of what is appropriate to ask the students because they are doing a lot of other activities.
76,11,"For us as educators, we need to find a way where we can make it interesting.",Make a DevOps course attractive to the students is challenging.
76,12,"You can make the lectures more interactive, but to make the lecture attractive students have to willing to interact. Right. Which is very difficult to do.",Make the lectures attractive is difficult.
77,05,"The biggest challenge is this, like, what goes in, you know? People do lots of things in the DevOps Pipeline these days, which doesn't necessarily go into a DevOps course, right?",There is no convention as to what are the main DevOps concepts that should be taught.
77,12,"I would say at the end of the fall, or maybe at the beginning of 2019, we started to plan this course. And for the longest time I was really questioning myself. Like, what do you teach in a DevOps course?

Now we're questioning ourselves. What else did we bring in? We may add some things about a bit of telemetry. So they have a bit of telemetry because they have lives, but we put some emphasis on it.","It's difficult to decide what will be taught in a DevOps course.

Hard to decide whether to teach telemetry or not."
78,12,"The, the overall context will change the process they use will have to change, to adapt, to become better, to, to stay at the top too, you know, they have to, so they have to recognize first that technologies will change, but the foundation, the fundamentals will remain,","It's hard to make clear to students and make them understand the fact that technologies will change with time, but the fundamentals will remain."
79,12,"JIRA is quite difficult to use in industry context, um, just because of the license model then. So it's, it's too complex.",It's difficult to use Jira lifecycle management tool because of its licence model.
80,12,So one of the challenge from an environment point of view is to get something that students can relate to.,"It's hard to find something students can relate to, from a environment point of view."
81,12,We hear from our industrial partners and from industry in general is there's this HUGE gap right? Between what the industry needs and what university provides.,There is a lack between what the industry wants from students about DevOps and what the university teaches.
82,13,"It didn't work for some specific tools that they wanted to present using this a katacoda, uh, website.",Katacoda does not work for some specific tools.
83,13,"Since the students were free to use any technology and present it ...  it was hard to stay as objective as possible and to have, uh, have the same criteria and metric for, uh, scoring different students, because someone was working on this project, someone was working on that project.",It was hard to have the same criteria and metric for scoring different students because they were free to use any technology and present it.
84,13,"It was a bit risk because if they had contributed to something that, uh, that the developers didn't merge they wouldn't get, uh, get the score.",The students wouldn't get the score if they had contributed to some open source project that the developers didn't merge on github.
85,14,"How this practitioner really works, because if you're not doing this, then you will stay at a very technical level. Like you deploy a pipeline and you're doing DevOps, which is absolutely not the case. And that's absolutely not the, uh, understanding of what DevOps is.",It is difficult to students understand how the pipeline deployment works and not just running it.
86,14,"We try to use, um, like remote services to relieve the burden of setup saying that, okay, you're going to use Jenkins on the cloud. Then you're going to use, we have this partnership with IBM. So we're using to use the bluemix platform from, uh, IBM that was supporting this kind of thing, um, disaster, because in the end it was really complicated to debug what was happening because you don't have the access go on the what's happening.

I think that that's one of the course that costed me the most in terms of, uh, frustrating time I've spent, uh, debugging lab sessions, ","Using remote services is really complicated to debug because you don't have the access on the what's happening.

Debugging lab sessions are frustating."
87,14,"Your Bamboo continuous to, uh, integration will just collapse because there's way too much students. My cohorts were 120 students a year. So when you have 120 students who all try to start their pipeline at the very same time, uh, in the last two days, and it's just a catastrophe and I mean, this thing will always happen.",Bamboo continuous integration does not work with 120 students running pipeline at the same time.
88,14,"He grade scale was half description, half justification, and that's helped a lot, but it's always, um, qualitative in this way. It's, it's, it's really difficult to be quantitative and to have this, uh, uh, grade scale that is by the, uh, by the point.",It is really difficult to quantitative grade scale on the description and the justification of case studies.
90,14,"Like, do you have to go through this course to if you're doing a master or a bachelor in software engineering, is it mandatory to go through DevOps or is it like an option that an optional path that you're following is this kind of, uh, there is no consensus on, on those kinds of, um, uh, things.",There is no consensus if DevOps course should be mandatory or optional.
