Recommendation,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
46,"To put your hand on something, at least once every, depends a lot [...] on the schedule, but every, I'll put it every eight hours is a very subjective metric, but if you give something practical every eight hours with examples for the student to interact, so you don't stay in a lecture for hours on end talking, it's essential to know how to divide and balance.

He has up to twenty, twenty-five minutes, he has your attention. So, if you cannot break that, alternate the tone of voice you speak, interact with him. If you just talk, you quickly lose the student after twenty minutes.

We need to adapt to the environment and try, every twenty to thirty minutes, to interact with the student so that he does something to keep his attention [...] Always propose challenges.","Use practical examples regularly for the student to interact.

Interact with the student and break the tone of voice every 20 minutes, inhibiting their loss of attention.

Interact with the student to keep him alert, proposing challenges, for example.",Interact with the students.,Iteration with students through practical examples,strategies in course execution,no,1,practice; example; interaction; pause; attention; sample; break; strategy; execution,"To put your hand on something, at least once every, depends a lot [...] on the schedule, but every, I'll put it every eight hours is a very subjective metric, but if you give something practical every eight hours with examples for the student to interact, so you don't stay in a lecture for hours on end talking, it's essential to know how to divide and balance.

He has up to twenty, twenty-five minutes, he has your attention. So, if you cannot break that, alternate the tone of voice you speak, interact with him. If you just talk, you quickly lose the student after twenty minutes.

We need to adapt to the environment and try, every twenty to thirty minutes, to interact with the student so that he does something to keep his attention [...] Always propose challenges. Use practical examples regularly for the student to interact.

Interact with the student and break the tone of voice every 20 minutes, inhibiting their loss of attention.

Interact with the student to keep him alert, proposing challenges, for example. Interact with the students. practice; example; interaction; pause; attention; sample; break; strategy; execution"
48,"So, I think it's essential for you to break both the tone of voice, the didactics you're using, put examples, you'll explain something theoretical, like Lean, for example, does an exercise that simulates the Lean process, not in software, it can even be with software, it can be with blocks, use Trello, interact with the student because if you spend more than twenty minutes talking, anyway, any situation, even in a typical lecture, you lose the student, you lose the audience.","Use examples with students to teach theory. For instance, we are using blocks or Trello to teach Lean.",,Use of blocks or trello for Lean teaching.,strategies in course execution,no,1,example; theory; block; trello; lean; pause; voice; exercise; interaction; attention; lecture; sample; task; mission; concept; break; language; strategy; execution,"So, I think it's essential for you to break both the tone of voice, the didactics you're using, put examples, you'll explain something theoretical, like Lean, for example, does an exercise that simulates the Lean process, not in software, it can even be with software, it can be with blocks, use Trello, interact with the student because if you spend more than twenty minutes talking, anyway, any situation, even in a typical lecture, you lose the student, you lose the audience. Use examples with students to teach theory. For instance, we are using blocks or Trello to teach Lean.  example; theory; block; trello; lean; pause; voice; exercise; interaction; attention; lecture; sample; task; mission; concept; break; language; strategy; execution"
49,"Suppose it's a class that, specifically, we were given the needs and characteristics before, such as access limitations, limited software installation on the machine. In that case, I prepare the class, and we have the schedule as a whole, which is ready; it has a beginning, middle, and an end.

If you are going to teach a software build class, for example, or unit testing, you need to assume that your class is in a certain place, let us say. You need to assume that your class is made up of developers, has a bit of knowledge and such, or you need to assume that your class does not have that much experience.","Seek to know in advance the needs and limitations of the class, such as installing software, for example, to create a more efficient schedule.

Identify the students' initial level of knowledge to do the course. For example, check if students can run unit tests that will be used in the software build class.",Seek to know in advance the needs and limitations of the class.,knowledge of the needs and limitations of the class,class preparation,no,2,installation; schedule; knowledge; build; test; limitation; restriction; preparation,"Suppose it's a class that, specifically, we were given the needs and characteristics before, such as access limitations, limited software installation on the machine. In that case, I prepare the class, and we have the schedule as a whole, which is ready; it has a beginning, middle, and an end.

If you are going to teach a software build class, for example, or unit testing, you need to assume that your class is in a certain place, let us say. You need to assume that your class is made up of developers, has a bit of knowledge and such, or you need to assume that your class does not have that much experience. Seek to know in advance the needs and limitations of the class, such as installing software, for example, to create a more efficient schedule.

Identify the students' initial level of knowledge to do the course. For example, check if students can run unit tests that will be used in the software build class. Seek to know in advance the needs and limitations of the class. installation; schedule; knowledge; build; test; limitation; restriction; preparation"
51,"If it's a mixed class, we send students a document that shows them beforehand, right? What are the prerequisites for him to take the course, software, software versions, how to install, well documented.",Share course prerequisites with students in advance.,,Prerequisites available beforehand.,class preparation,no,1,sharing; prerequisite; advance; documentation; record; preparation; requisite; mandatory,"If it's a mixed class, we send students a document that shows them beforehand, right? What are the prerequisites for him to take the course, software, software versions, how to install, well documented. Share course prerequisites with students in advance.  sharing; prerequisite; advance; documentation; record; preparation; requisite; mandatory"
52,"These are documents that we send in separate stages of the course [...]. We break the infrastructure documents to do the Kaisen process within Lean-to unify the documentation so that the student understands the difficulty he faced and the problem he faces daily.

But it's been billed according to the right guidelines that we want them to use. So they can borrow heavily from the sample. They can see sample testifies, sample integration test, sample Docker files, componentization, et cetera.

We're building a couple of tutorials so that, you know, the ones that have less experience with certainly the testing can look at it.","Create student support examples and guidelines, breaks into parts to go through the steps gradually.

Create examples and guidelines to help students develop their solution based on it.

We're building a couple of tutorials so that the ones that have less experience can look at it.",Create tutorials to help students.,Separation in parts of support document for infrastructure configuration,environment setup,no,3,tutorial; example; guideline; documentation; material; sample; environment; setup; record,"These are documents that we send in separate stages of the course [...]. We break the infrastructure documents to do the Kaisen process within Lean-to unify the documentation so that the student understands the difficulty he faced and the problem he faces daily.

But it's been billed according to the right guidelines that we want them to use. So they can borrow heavily from the sample. They can see sample testifies, sample integration test, sample Docker files, componentization, et cetera.

We're building a couple of tutorials so that, you know, the ones that have less experience with certainly the testing can look at it. Create student support examples and guidelines, breaks into parts to go through the steps gradually.

Create examples and guidelines to help students develop their solution based on it.

We're building a couple of tutorials so that the ones that have less experience can look at it. Create tutorials to help students. tutorial; example; guideline; documentation; material; sample; environment; setup; record"
53,"So we break the infrastructure documents to do the Kaisen process within Lean-to unify the documentation so that the student understands the difficulty he faced and the difficulty he will meet daily.

So we employ someone in our team, a couple of people who work on implementing that, and we created some issues in the application, like some bugs.","Simulate real problems that the student will likely face in their daily lives.

Try to simulate a real scenario employing someone in the group to insert issues and bugs in students project.",Simulate real problems with the students.,real problems common in the industry,strategies in course execution,no,2,simulation; problem; scenario; issue; bug; group; project; activity; task; mission; strategy; execution,"So we break the infrastructure documents to do the Kaisen process within Lean-to unify the documentation so that the student understands the difficulty he faced and the difficulty he will meet daily.

So we employ someone in our team, a couple of people who work on implementing that, and we created some issues in the application, like some bugs. Simulate real problems that the student will likely face in their daily lives.

Try to simulate a real scenario employing someone in the group to insert issues and bugs in students project. Simulate real problems with the students. simulation; problem; scenario; issue; bug; group; project; activity; task; mission; strategy; execution"
54,"From a didactic point of view, we leave one or two hours before each day; there is a specific infra team to answer any student's doubts.",There is a specific support team to answer students' questions about the related infrastructure part.,,Specific support team for infrastructure doubts.,class preparation,no,1,support; team; question; infrastructure; preparation,"From a didactic point of view, we leave one or two hours before each day; there is a specific infra team to answer any student's doubts. There is a specific support team to answer students' questions about the related infrastructure part.  support; team; question; infrastructure; preparation"
55,"Realize how much you deviate because the student has a particular problem and loses his didactics a little. So, knowing how to limit it too, then work with the student, talk, look, and talk more calmly, because this situation is particular. There has to be a breakpoint because otherwise, you'll lose the other students.","Avoid messing around with specific problems faced by students, dealing in a personalized way at the right time.",,Customization of Specific Problem Discussions Faced by Students,strategies in course execution,no,1,problem; dealing; personalization; student; particular; strategy; execution,"Realize how much you deviate because the student has a particular problem and loses his didactics a little. So, knowing how to limit it too, then work with the student, talk, look, and talk more calmly, because this situation is particular. There has to be a breakpoint because otherwise, you'll lose the other students. Avoid messing around with specific problems faced by students, dealing in a personalized way at the right time.  problem; dealing; personalization; student; particular; strategy; execution"
56,A task tracking tool. Then it can be Notion or Trello; I think it's essential.,Use a task tracking tool like Trello or Notion.,,Task Tracking Tools,tool / technology,no,1,task; tracking; trello; notion; mission; tool; technology,A task tracking tool. Then it can be Notion or Trello; I think it's essential. Use a task tracking tool like Trello or Notion.  task; tracking; trello; notion; mission; tool; technology
57,"There must always be two tools, the stream that would be the zoom, Google Meet, any device that does that, Webex I don't know, it depends on the company.

Because of the remote learning  [...] I've been teaching my classes on zoom.","Use a streaming tool like Zoom, Google Meet, or Webex in remote learning scenario.

Use Zoom in remote learning scenario.",Use streaming tool like Zoom in remote learning scenario.,"Use a Stream Tool as Zoom, Google Meet or WebEx",tool / technology,no,2,streaming; zoom; google meet; webex; remote; tool; technology,"There must always be two tools, the stream that would be the zoom, Google Meet, any device that does that, Webex I don't know, it depends on the company.

Because of the remote learning  [...] I've been teaching my classes on zoom. Use a streaming tool like Zoom, Google Meet, or Webex in remote learning scenario.

Use Zoom in remote learning scenario. Use streaming tool like Zoom in remote learning scenario. streaming; zoom; google meet; webex; remote; tool; technology"
58,"I prefer Notion even though I work for Trello's company; I prefer Notion for a reason. I can export it in Markdown and directly version all documentation. So, for each day of the course, all the commands that we run or the additional content, I list them, interact with them, and interact together.","The Notion tool allows exporting to Markdown, enabling the versioning of documentation for each day of the course: all executed commands and additional content.",,Exportation to Markdown and Version from the Notion,tool / technology,no,1,notion; markdown; versioning; documentation; material; command; tool; technology; record,"I prefer Notion even though I work for Trello's company; I prefer Notion for a reason. I can export it in Markdown and directly version all documentation. So, for each day of the course, all the commands that we run or the additional content, I list them, interact with them, and interact together. The Notion tool allows exporting to Markdown, enabling the versioning of documentation for each day of the course: all executed commands and additional content.  notion; markdown; versioning; documentation; material; command; tool; technology; record"
59,"And a code repository, you can GitLab, Github, which you can share with students, this situation.

They use GitHub. .. The only thing we really need is that the students give us, uh, access to their accounts.

This course has a very specific structure, which is not usual. Uh, the structure is that, uh, everything. Um, I think you have access to our GitHub repository and everything is, uh, available.

Everything in this course was, uh, was, uh, done through the GitHub repository, there are many issues, there are many pull requests and the discussions between TAs and the students and grading everything is there.

The student had to have the code that goes so git as a version control system, uh, GitHub GitLab, the, we had a Bitbucket on-premise also, uh, deployed inside the school.","Use a code repository tool like Gitlab or Github.

Use Github with access to students accounts repositories.

Make public access the content of the course using the GitHub.

Use Github to record grading, pull requests and discussions between teacher assistants and the students.

Use github, gitlab or bitbucket as version control system tools adopted by the course.",Use a code repository tool like Github.,Use of code versioning tools,tool / technology,no,4,repository; gitlab; github; versioning; pull request; discussion; issue; tool; technology; automation; conversation,"And a code repository, you can GitLab, Github, which you can share with students, this situation.

They use GitHub. .. The only thing we really need is that the students give us, uh, access to their accounts.

This course has a very specific structure, which is not usual. Uh, the structure is that, uh, everything. Um, I think you have access to our GitHub repository and everything is, uh, available.

Everything in this course was, uh, was, uh, done through the GitHub repository, there are many issues, there are many pull requests and the discussions between TAs and the students and grading everything is there.

The student had to have the code that goes so git as a version control system, uh, GitHub GitLab, the, we had a Bitbucket on-premise also, uh, deployed inside the school. Use a code repository tool like Gitlab or Github.

Use Github with access to students accounts repositories.

Make public access the content of the course using the GitHub.

Use Github to record grading, pull requests and discussions between teacher assistants and the students.

Use github, gitlab or bitbucket as version control system tools adopted by the course. Use a code repository tool like Github. repository; gitlab; github; versioning; pull request; discussion; issue; tool; technology; automation; conversation"
60,"We usually use Jenkins as an integration tool because it's open-source, it's everywhere, despite having other devices that do the job even better, but it's spread out, it's ancient.

The software [...] built with Jenkins.

Jenkins, you do not pay anything, you install it on your server, and it has gone.

They need Jenkins. So either you tell them to go install Jenkins, or what I've done is I say, Hey, here's a Docker image for Jenkins.

Now I realize every day that I need testing and continuous, I mean, Jenkins is my friend.

And, and, uh, so in terms of the continuous integration server, and there are many different services available, but can we use Jenkins because it is a, it is free and, and a lot of companies are using, but there are some other options that can be used.

Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff.","Use a Continuous Integration tool. in particular, Jenkins is open source and very widespread. 

Use Jenkins to do continuous integration.

Use Jenkins.

Uses Jenkins through a Docker image.

Jenkins can be chosen as DevOps tool.

Jenkins can be use as continuous integration tool because it is free and lot of companies use it.

Use tools like Jenkins to have more control on support the deployment.",Use Jenkins tool.,Use of Jenkins.,tool / technology,yes,5,jenkins; continuous integration; deployment; pipeline; tool; technology; automation; gradual; ci,"We usually use Jenkins as an integration tool because it's open-source, it's everywhere, despite having other devices that do the job even better, but it's spread out, it's ancient.

The software [...] built with Jenkins.

Jenkins, you do not pay anything, you install it on your server, and it has gone.

They need Jenkins. So either you tell them to go install Jenkins, or what I've done is I say, Hey, here's a Docker image for Jenkins.

Now I realize every day that I need testing and continuous, I mean, Jenkins is my friend.

And, and, uh, so in terms of the continuous integration server, and there are many different services available, but can we use Jenkins because it is a, it is free and, and a lot of companies are using, but there are some other options that can be used.

Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff. Use a Continuous Integration tool. in particular, Jenkins is open source and very widespread. 

Use Jenkins to do continuous integration.

Use Jenkins.

Uses Jenkins through a Docker image.

Jenkins can be chosen as DevOps tool.

Jenkins can be use as continuous integration tool because it is free and lot of companies use it.

Use tools like Jenkins to have more control on support the deployment. Use Jenkins tool. jenkins; continuous integration; deployment; pipeline; tool; technology; automation; gradual; ci"
61,"Notion or Trello [...], you need to have a two-way tool where you and the student interact. Not a Gist, for example, because the Gist, although you can only release it because the student needs to put their feedback there too. [...] There are some tasks that we set up there, a post mortem of the process that fails; I need a feedback tool that the student can also interact with.",Notion and Trello allow student and teacher interaction in two ways. Gist does not allow it.,,Notion and Trello allow two-way iteration but Gist only one,tool / technology,no,1,notion; trello; interaction; communication; feedback; gist; conversation; tool; technology; discussion; answer,"Notion or Trello [...], you need to have a two-way tool where you and the student interact. Not a Gist, for example, because the Gist, although you can only release it because the student needs to put their feedback there too. [...] There are some tasks that we set up there, a post mortem of the process that fails; I need a feedback tool that the student can also interact with. Notion and Trello allow student and teacher interaction in two ways. Gist does not allow it.  notion; trello; interaction; communication; feedback; gist; conversation; tool; technology; discussion; answer"
62,"So, I usually recommend it to instructors; I recommend it to students when they share it with me. Decrease the FPF rate of screen sharing because that's a lock. Zoom uses what it can if you don't limit it. So, we restrict ten FPS, for example, so that I don't consume too much of my or the student's CPU because I sometimes have to correct the exercise on his side.","Limit the zoom FPS rate to 10, avoiding excessive student and instructor resource consumption.",,Mitigation of excessive resource consumption by limiting the fps zoom rate,tool / technology,no,1,zoom; remote; computing resource; tool; technology,"So, I usually recommend it to instructors; I recommend it to students when they share it with me. Decrease the FPF rate of screen sharing because that's a lock. Zoom uses what it can if you don't limit it. So, we restrict ten FPS, for example, so that I don't consume too much of my or the student's CPU because I sometimes have to correct the exercise on his side. Limit the zoom FPS rate to 10, avoiding excessive student and instructor resource consumption.  zoom; remote; computing resource; tool; technology"
63,"It would help if you observed each student and, and then, you have to listen a lot, too, what was the difficulty he had and where he arrived. So, then, we do a final assessment per student, but our perception of it. If he did well, if he had a lot of doubt, what was the point that generated the most suspicion for him?

I tell them, I am not going to grade you on what you submit. I'm going to grade you on how you got there because getting there is not the point. It's the journey, right? That's the point. [...] I teach them that every failure is a learning opportunity. If you fail and you learn something, you get credit. It's not a failure because you've learned something, we're here to learn.

You can't just grade what they submit. You have to watch how they're working.

For the assessment, as I said, I give them a lot of leeway in the beginning. Um, they can make mistakes on their Kanban board and still get full credit if they know what the mistakes are that they made. However, in later sprints, if they make the same mistakes, then I start taking points off.  So I give them time to learn, uh, so that they feel that they can make a few mistakes, take a few risks, um, and not get penalized for it.

 If there's problems, I'll tell you where there's problems and you can go fix it, go get it, right. Go, go make it, do what it's supposed to do. You know, because in industry we're, we don't just get a one and done shot. We keep at it until it works. And so I bring that to the table and I think that provides a little less pressure on students.

I tend not to get quite as hyper-focused on right versus wrong answers. ... so treating it as, as more of an assessment of maybe architecture, if you will, or an assessment of approach, as opposed to this is right, this is wrong. Uh, I think that's been fairly well received.

So people need to feel comfortable sharing, if they've made a mistake or not thinking that they're gonna have their headquarters. Right. Um, so when talking about that, if students have never worked in the context where, you know, people are blaming each other and stuff, it's difficult to understand I, to, to be concrete. And this is so crucial.","Individually assess the student's progress throughout the course.

Grade students based on their learning journey and mistakes, not on what they submit. What's important is how they get there, because every failure is learning opportunity.

Grade based how the students working their tasks and not only what they are submitting.

For the assessment, the students can make mistakes in the beginning without fear of being penalized.

Students can fix their code problems. In industry, we keep coding until it works. It also provides a little less pressure on students.

Do not focus your assessment on right versus wrong answers.

Create an environment that students feel comfortable with sharing about their mistakes and learn how with their teammates.","Grade students based on their learning journey and mistakes. What's important is how they get there, because every failure is learning opportunity.",Individual assessment of students.,assessment,yes,4,grade; assessment; mistake; failure; difficulty; task; coding; answer; team; mission; solution; evaluation; score; justification,"It would help if you observed each student and, and then, you have to listen a lot, too, what was the difficulty he had and where he arrived. So, then, we do a final assessment per student, but our perception of it. If he did well, if he had a lot of doubt, what was the point that generated the most suspicion for him?

I tell them, I am not going to grade you on what you submit. I'm going to grade you on how you got there because getting there is not the point. It's the journey, right? That's the point. [...] I teach them that every failure is a learning opportunity. If you fail and you learn something, you get credit. It's not a failure because you've learned something, we're here to learn.

You can't just grade what they submit. You have to watch how they're working.

For the assessment, as I said, I give them a lot of leeway in the beginning. Um, they can make mistakes on their Kanban board and still get full credit if they know what the mistakes are that they made. However, in later sprints, if they make the same mistakes, then I start taking points off.  So I give them time to learn, uh, so that they feel that they can make a few mistakes, take a few risks, um, and not get penalized for it.

 If there's problems, I'll tell you where there's problems and you can go fix it, go get it, right. Go, go make it, do what it's supposed to do. You know, because in industry we're, we don't just get a one and done shot. We keep at it until it works. And so I bring that to the table and I think that provides a little less pressure on students.

I tend not to get quite as hyper-focused on right versus wrong answers. ... so treating it as, as more of an assessment of maybe architecture, if you will, or an assessment of approach, as opposed to this is right, this is wrong. Uh, I think that's been fairly well received.

So people need to feel comfortable sharing, if they've made a mistake or not thinking that they're gonna have their headquarters. Right. Um, so when talking about that, if students have never worked in the context where, you know, people are blaming each other and stuff, it's difficult to understand I, to, to be concrete. And this is so crucial. Individually assess the student's progress throughout the course.

Grade students based on their learning journey and mistakes, not on what they submit. What's important is how they get there, because every failure is learning opportunity.

Grade based how the students working their tasks and not only what they are submitting.

For the assessment, the students can make mistakes in the beginning without fear of being penalized.

Students can fix their code problems. In industry, we keep coding until it works. It also provides a little less pressure on students.

Do not focus your assessment on right versus wrong answers.

Create an environment that students feel comfortable with sharing about their mistakes and learn how with their teammates. Grade students based on their learning journey and mistakes. What's important is how they get there, because every failure is learning opportunity. grade; assessment; mistake; failure; difficulty; task; coding; answer; team; mission; solution; evaluation; score; justification"
64,"They also assess the course at the end; we send you a link and recommend you do this, consider some topics to take the NPS; I think the NPS is the universal metric for assessment, I don't know if you put it under the puts under the radar, the Net Promoter Score, from zero to ten, where zero to zero to seven is Detractor, eight is passive, nine to ten is promoter based on a set of questions that you cannot induce the student.

When people come in to do this, this, this feedback with the students, understand, the students also talk to a person who is not me, who on the last day, I leave, it is a recommendation I give, I leave the conference to leave the students at ease, talking to this person, they make a mistake during the training and the person got annoyed, and with you inside, they will be a little, a little afraid to expose, although it is also by email.

You need to get the feedback, you don't get the feedback, right? So, and when we, when the students do the student evaluation, of course don't write much. So it's much easier if you can trigger this question.","Evaluate the course, performing an NPS (Net Promoter Score) with students.

Teachers and monitors must not be present at the time of course evaluation by students.

Do not try to get feedback before a student assessment, as the student may feel fearful.",Evaluate the course.,NPS as a form of course evaluation with students,assessment,no,2,nps; evaluation; course; feedback; fear; assessment; answer; net promoter score,"They also assess the course at the end; we send you a link and recommend you do this, consider some topics to take the NPS; I think the NPS is the universal metric for assessment, I don't know if you put it under the puts under the radar, the Net Promoter Score, from zero to ten, where zero to zero to seven is Detractor, eight is passive, nine to ten is promoter based on a set of questions that you cannot induce the student.

When people come in to do this, this, this feedback with the students, understand, the students also talk to a person who is not me, who on the last day, I leave, it is a recommendation I give, I leave the conference to leave the students at ease, talking to this person, they make a mistake during the training and the person got annoyed, and with you inside, they will be a little, a little afraid to expose, although it is also by email.

You need to get the feedback, you don't get the feedback, right? So, and when we, when the students do the student evaluation, of course don't write much. So it's much easier if you can trigger this question. Evaluate the course, performing an NPS (Net Promoter Score) with students.

Teachers and monitors must not be present at the time of course evaluation by students.

Do not try to get feedback before a student assessment, as the student may feel fearful. Evaluate the course. nps; evaluation; course; feedback; fear; assessment; answer; net promoter score"
66,"If possible, record at least one training for an autoscopy at the end. See if you have any language addiction, if there were any process that didn't fit the way you imagined, that would work, because when you're talking and doing, sometimes, there's a detail that it shouldn't.",Record a training for the teacher to assess language addiction and whether the class flowed as planned.,,Class evaluation through training recording.,assessment,no,1,record; training; language; assessment; evaluation; voice,"If possible, record at least one training for an autoscopy at the end. See if you have any language addiction, if there were any process that didn't fit the way you imagined, that would work, because when you're talking and doing, sometimes, there's a detail that it shouldn't. Record a training for the teacher to assess language addiction and whether the class flowed as planned.  record; training; language; assessment; evaluation; voice"
67,"Mixing, theoretical and practical [...] is essential.",It is essential to mix the teaching of the theoretical part and the practical part of DevOps.,,Theoretical and practical education mix,curriculum,yes,1,theory; practice; balance; concept; curriculum; syllabus; schedule,"Mixing, theoretical and practical [...] is essential. It is essential to mix the teaching of the theoretical part and the practical part of DevOps.  theory; practice; balance; concept; curriculum; syllabus; schedule"
68,"We need to talk about the theoretical part about Lean, which is the Toyota method, Kaisen is also very important, Agile which is significantly linked to the DevOps process.","In the theoretical part of DevOps, Lean, Kaisen, and Agile should be taught.",,"teaching from Lean, Kaisen and Agile on the theoretical part",curriculum,yes,1,theory; kaisen; lean; agile; concept; curriculum; syllabus,"We need to talk about the theoretical part about Lean, which is the Toyota method, Kaisen is also very important, Agile which is significantly linked to the DevOps process. In the theoretical part of DevOps, Lean, Kaisen, and Agile should be taught.  theory; kaisen; lean; agile; concept; curriculum; syllabus"
69,"What is practical, from the menu, is to make an end-to-end software, [...] But, end-to-end, and the end, which is monitoring.","Make software from start to finish, going through the DevOps steps to the monitoring step.",,Development of software across all steps from DevOps.,curriculum,yes,1,process; monitoring; incremental; progress; technique; curriculum; syllabus; supervision; evolution; skill,"What is practical, from the menu, is to make an end-to-end software, [...] But, end-to-end, and the end, which is monitoring. Make software from start to finish, going through the DevOps steps to the monitoring step.  process; monitoring; incremental; progress; technique; curriculum; syllabus; supervision; evolution; skill"
70,"Software build [...] deliver this to a VM, somehow, in the best way you understand, which is possible in your suite [...] You can provide it with Docker.",Perform continuous delivery through virtual machines or with Docker.,,Continuous delivery through virtual machine or docker,tool / technology,yes,1,continuous delivery; virtual machine; vm; docker; container; tool; technology; automation; cd; gradual; technique; skill; continuous deployment,"Software build [...] deliver this to a VM, somehow, in the best way you understand, which is possible in your suite [...] You can provide it with Docker. Perform continuous delivery through virtual machines or with Docker.  continuous delivery; virtual machine; vm; docker; container; tool; technology; automation; cd; gradual; technique; skill; continuous deployment"
71,"The software [...] a monitoring tool, in the end, for you to look at. [...] Look at a Grafana, for example, with Prometheus, which is free software, like that.",Use Grafana and Prometheus as monitoring tools.,,Grafana and Prometheus as monitoring tools,tool / technology,yes,1,grafana; prometheus; monitoring; tool; technology; automation; supervision,"The software [...] a monitoring tool, in the end, for you to look at. [...] Look at a Grafana, for example, with Prometheus, which is free software, like that. Use Grafana and Prometheus as monitoring tools.  grafana; prometheus; monitoring; tool; technology; automation; supervision"
72,"Of the menu is to make an end-to-end software, to understand the software in its conception. We already deliver this to the student, ready. Because we're not going to create the software from scratch, because the code is already kind of polished, it's a code from a forum in Java, where we have some features that depend on the machine to do the build, so we're going to decouple.",Use a complete example project from places such as a java discussion forum.,,Exemplification from forum projects.,strategies in course execution,no,1,example; project; forum; discussion; sample; activity; task; mission; conversation; strategy; execution,"Of the menu is to make an end-to-end software, to understand the software in its conception. We already deliver this to the student, ready. Because we're not going to create the software from scratch, because the code is already kind of polished, it's a code from a forum in Java, where we have some features that depend on the machine to do the build, so we're going to decouple. Use a complete example project from places such as a java discussion forum.  example; project; forum; discussion; sample; activity; task; mission; conversation; strategy; execution"
73,"So, the first thing, uncouple the database connection that is versioned in the source code. You can still version the String os; although it's not the best practice, you don't have to comment out the code to change the environment because TomCat will read it from there. Versioning in a git, using a continuous integration like Jenkins, for example, and a constant deploy, a continuous delivery with, it can be with an Ansible, it can be with any tool you deliver or in a VM or the Cloud.","Carry out the following practical activities during the course: the first step is to decouple the database connection from the system code, then version the code with Git, insert continuous integration with Jenkins, and finish with constant delivery using public cloud services or tools with Ansible.",,"Practical activities in the course: bank decoupling, versioning, integration and continuous delivery",curriculum,yes,1,practice; activity; exercise; coding; database; versioning; git; continuous integration; jenkins; cloud; ansible; delivery; task; mission; gradual; curriculum; syllabus; schedule; technique; skill; ci,"So, the first thing, uncouple the database connection that is versioned in the source code. You can still version the String os; although it's not the best practice, you don't have to comment out the code to change the environment because TomCat will read it from there. Versioning in a git, using a continuous integration like Jenkins, for example, and a constant deploy, a continuous delivery with, it can be with an Ansible, it can be with any tool you deliver or in a VM or the Cloud. Carry out the following practical activities during the course: the first step is to decouple the database connection from the system code, then version the code with Git, insert continuous integration with Jenkins, and finish with constant delivery using public cloud services or tools with Ansible.  practice; activity; exercise; coding; database; versioning; git; continuous integration; jenkins; cloud; ansible; delivery; task; mission; gradual; curriculum; syllabus; schedule; technique; skill; ci"
74,"Make it very clear, pedagogically, that I think it involves an exemplary sound configuration so that the student can hear you well, always with the camera open, even if the student doesn't open it, because he can't, but let him see you, that he feels this approach as much as possible.","Provide a comfortable learning environment for the student, such as remote teaching, which requires adequate audio and video equipment.",,Comfortable student learning environment in remote,strategies in course execution,no,1,environment; remote; audio; video; strategy; execution,"Make it very clear, pedagogically, that I think it involves an exemplary sound configuration so that the student can hear you well, always with the camera open, even if the student doesn't open it, because he can't, but let him see you, that he feels this approach as much as possible. Provide a comfortable learning environment for the student, such as remote teaching, which requires adequate audio and video equipment.  environment; remote; audio; video; strategy; execution"
75,"Within the menu, try to avoid making the student dependent on that stack you are teaching. So, if you're going to explain Jenkins, take half an hour to explain the pipeline in another tool, so he can see that it's possible. So he doesn't come out with the recipe ready. As much as we don't deliver it, the student creates a recipe in his head, and it won't fit in all of his daily routines. Then it will generate frustration. So, make it clear, look, can you see what we're doing? We're doing it for that reason, at Jenkins. Today we are going to use Bitbucket, for example, which is how we do it. One, as an example, correct?

They said: teacher, I can do it in such language, I can do it in such a platform, can I do it like this? [...] So, I am not going to say that there were, I do not know, six, seven, different environments, right? That there was, but let us put two or three, right, different ones. So, for us, professors, we are often not proficient in all of these, right? So, then the person will have to clarify a doubt, then you say: man, I don't know. So, you decided to do it there, you kind of jump up, like, you know? The most we can do is try to convey the concepts, right? And when the person has a very big doubt like that, you say, boy, try to explain to me how this technology is there that you are using see if I can at least translate the things that I know, that is it.","Show the student that there are several ways and tools to do the task.

Teach in a way that knowledge can be applied in different tools, but not focus on the possible specific problems of each technology.",Show the student that there are several ways and tools to do the task.,clear diversity of possible tools to perform a task.,tool / technology,no,2,teaching method; knowledge; problem; tool; technology; automation; issue,"Within the menu, try to avoid making the student dependent on that stack you are teaching. So, if you're going to explain Jenkins, take half an hour to explain the pipeline in another tool, so he can see that it's possible. So he doesn't come out with the recipe ready. As much as we don't deliver it, the student creates a recipe in his head, and it won't fit in all of his daily routines. Then it will generate frustration. So, make it clear, look, can you see what we're doing? We're doing it for that reason, at Jenkins. Today we are going to use Bitbucket, for example, which is how we do it. One, as an example, correct?

They said: teacher, I can do it in such language, I can do it in such a platform, can I do it like this? [...] So, I am not going to say that there were, I do not know, six, seven, different environments, right? That there was, but let us put two or three, right, different ones. So, for us, professors, we are often not proficient in all of these, right? So, then the person will have to clarify a doubt, then you say: man, I don't know. So, you decided to do it there, you kind of jump up, like, you know? The most we can do is try to convey the concepts, right? And when the person has a very big doubt like that, you say, boy, try to explain to me how this technology is there that you are using see if I can at least translate the things that I know, that is it. Show the student that there are several ways and tools to do the task.

Teach in a way that knowledge can be applied in different tools, but not focus on the possible specific problems of each technology. Show the student that there are several ways and tools to do the task. teaching method; knowledge; problem; tool; technology; automation; issue"
