Challenge,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
36,"For you to be able to look at all the students is very difficult, I understand why some cannot open the camera. It does not have the capacity or technology or structure to open, talk to you. Communication is broken, no matter how much we open it all the time, even if Zoom allows it. It is different from everyday life in the classroom because you cannot look at the student and see how he is reacting to that content. Not that you only adapt to one student, but you do not have the personal perception of doubt. Sometimes you can look at the student and say, oh, I think that was not clear to him. It is a challenge.

Because of the remote learning [...] I've been teaching my classes on zoom. And so, uh, that makes it very hard to do hands-on because I can't see the students right. While I'm doing the hands-on. So I can't see the puzzled look on their face and say, okay, I just lost them.

To make the lecture attractive students have to willing to interact. Right. Which is very difficult to do. And of course, uh, zoom teaching, uh, makes it a challenge.","Difficulty in monitoring and keeping in touch with all students effectively during remote learning classes.

It's hard to do hands-on on remote learning because the teacher can't see the students face.

It is very difficult to interact with students in lecture remote teaching.",Comunications with students is hard when classes are remote.,students' difficulty in remote learning: in monitoring and keeping in contact ,strategies in course execution,no,3,remote; communication; conversation; interaction; discussion; strategy; execution,"For you to be able to look at all the students is very difficult, I understand why some cannot open the camera. It does not have the capacity or technology or structure to open, talk to you. Communication is broken, no matter how much we open it all the time, even if Zoom allows it. It is different from everyday life in the classroom because you cannot look at the student and see how he is reacting to that content. Not that you only adapt to one student, but you do not have the personal perception of doubt. Sometimes you can look at the student and say, oh, I think that was not clear to him. It is a challenge.

Because of the remote learning [...] I've been teaching my classes on zoom. And so, uh, that makes it very hard to do hands-on because I can't see the students right. While I'm doing the hands-on. So I can't see the puzzled look on their face and say, okay, I just lost them.

To make the lecture attractive students have to willing to interact. Right. Which is very difficult to do. And of course, uh, zoom teaching, uh, makes it a challenge. Difficulty in monitoring and keeping in touch with all students effectively during remote learning classes.

It's hard to do hands-on on remote learning because the teacher can't see the students face.

It is very difficult to interact with students in lecture remote teaching. Comunications with students is hard when classes are remote. remote; communication; conversation; interaction; discussion; strategy; execution"
37,"There's still this challenge of understanding these tools, environment, network, configuration, you know? So, I think one challenge brings the other, right? I would say this is a challenge, too.
","Difficulty in understanding environment, tools and network configuration.",,"Difficulty in an understanding environment, tools and network configuration.",environment setup,yes,1,environment; network; configuration; setup,"There's still this challenge of understanding these tools, environment, network, configuration, you know? So, I think one challenge brings the other, right? I would say this is a challenge, too.
 Difficulty in understanding environment, tools and network configuration.  environment; network; configuration; setup"
38,"When you go to configure the tools and such, as you were the one who developed the system, it becomes easier, I believe you understand all the automations and such, but at the same time I see that the guys have a lot of difficulty in doing it.",There is difficulty for students to carry out the automation of the construction of systems used during the course.,,Students with difficulty in automating systems.,tool / technology,no,1,build; automation; technology; tool,"When you go to configure the tools and such, as you were the one who developed the system, it becomes easier, I believe you understand all the automations and such, but at the same time I see that the guys have a lot of difficulty in doing it. There is difficulty for students to carry out the automation of the construction of systems used during the course.  build; automation; technology; tool"
39,"This part of the system, which I ask them to do to monitor the discipline, [...] ok, I'll give you a system, will it be an open source system? Me too, you know? Since I can give you a system, let's use a real system that isn't a joke. So, like, I think of a great open souce system there, that has testing, has a shitload of stuff, has continuous integration and has I don't know what, and you can select the test battery that will be used in each corner, You know?

You have to make a business case. It's a lot harder to do.

The challenge sometimes is finding a good open source application, which is not too big also because you don't want the project to be too big. You don't want it to be too small, but you don't want too big. So, so finding something in between, which can be used. And, and, uh, so.

The challenge for us is getting an application, which is interesting [...] you know, like they can use.

The fact that DevOps is not just purely technical, it would be related to the fact that it's really complicated teach on a given semester because you have, let's say 13 to 15 weeks, three hours a week, and then you have to go through you can't address like large, large project because it doesn't fit in the semester.","Difficulty selecting an example system realistic enough for students to use during the course.

It is hard to do a business case to demonstrate the importance of running devops.

It is difficult to find the right sized open source project to use. It is should be not too small and not too bit.

It is difficult to find an interesting sample application that students use.

Students can't work on large projects in 13 to 15 weeks three hours a week course.",It's challeging to find the right sized examples to teach DevOps.,Difficulty at select of a realistic example system for students,tool / technology,yes,4,example; sample; project; activity; task; mission; tool; technology,"This part of the system, which I ask them to do to monitor the discipline, [...] ok, I'll give you a system, will it be an open source system? Me too, you know? Since I can give you a system, let's use a real system that isn't a joke. So, like, I think of a great open souce system there, that has testing, has a shitload of stuff, has continuous integration and has I don't know what, and you can select the test battery that will be used in each corner, You know?

You have to make a business case. It's a lot harder to do.

The challenge sometimes is finding a good open source application, which is not too big also because you don't want the project to be too big. You don't want it to be too small, but you don't want too big. So, so finding something in between, which can be used. And, and, uh, so.

The challenge for us is getting an application, which is interesting [...] you know, like they can use.

The fact that DevOps is not just purely technical, it would be related to the fact that it's really complicated teach on a given semester because you have, let's say 13 to 15 weeks, three hours a week, and then you have to go through you can't address like large, large project because it doesn't fit in the semester. Difficulty selecting an example system realistic enough for students to use during the course.

It is hard to do a business case to demonstrate the importance of running devops.

It is difficult to find the right sized open source project to use. It is should be not too small and not too bit.

It is difficult to find an interesting sample application that students use.

Students can't work on large projects in 13 to 15 weeks three hours a week course. It's challeging to find the right sized examples to teach DevOps. example; sample; project; activity; task; mission; tool; technology"
34,"Doing infrastructure as code or forms of configuration management or containerization, or even the simpler things like treating build scripts as first-class citizens alongside your code, start to not be meaningful until you have code at some minimum scale where there's a certain minimum complexity, both in terms of construction.

If you give artificial example or small toy example, then it's just going about configuring small things. So naturally naturally what DevOps is, uh, it's really complicated to make the students experience a cultural change and those kinds of things, because there's, well, there's no culture of, uh, industrial project in a school because it's academic project or it's teaching how to behave in a industrial project.

So it was lectures and labs and like a small project, but it was wasn't really satisfactory.","Devops concepts like configuration management and contaizerization need examples with mininum scale and complexity.

The students can have difficulty understanding the DevOps culture working on a small example.

Small project wasn't really satisfactory.",Small examples weren't really satisfactory.,small examples not satisfactory.,tool / technology,yes,2,example; sample; project; activity; task; mission; tool; technology,"Doing infrastructure as code or forms of configuration management or containerization, or even the simpler things like treating build scripts as first-class citizens alongside your code, start to not be meaningful until you have code at some minimum scale where there's a certain minimum complexity, both in terms of construction.

If you give artificial example or small toy example, then it's just going about configuring small things. So naturally naturally what DevOps is, uh, it's really complicated to make the students experience a cultural change and those kinds of things, because there's, well, there's no culture of, uh, industrial project in a school because it's academic project or it's teaching how to behave in a industrial project.

So it was lectures and labs and like a small project, but it was wasn't really satisfactory. Devops concepts like configuration management and contaizerization need examples with mininum scale and complexity.

The students can have difficulty understanding the DevOps culture working on a small example.

Small project wasn't really satisfactory. Small examples weren't really satisfactory. example; sample; project; activity; task; mission; tool; technology"
40,"So, because then, if I make this system, I can pass it on to people in a much simpler way, right? How do they do things and such, but then we also know that there are challenges, right? Wow, this is not that simple, will I have time to do it, right?

There is no time for, for example, structuring complex environments [...] I know it is not the reality in the market, very few companies I had contact that set up their environment from scratch on the nail, in a set of internal servers.","Lack of time for teachers to develop a ready-made and well-crafted example system.

Lack of time to structure more complex environments with students.",Lack of time to prepare classes to teach DevOps.,Little time during preparation of a well-designed example system by the teacher with little time ,class preparation,no,2,time; example; sample; preparation,"So, because then, if I make this system, I can pass it on to people in a much simpler way, right? How do they do things and such, but then we also know that there are challenges, right? Wow, this is not that simple, will I have time to do it, right?

There is no time for, for example, structuring complex environments [...] I know it is not the reality in the market, very few companies I had contact that set up their environment from scratch on the nail, in a set of internal servers. Lack of time for teachers to develop a ready-made and well-crafted example system.

Lack of time to structure more complex environments with students. Lack of time to prepare classes to teach DevOps. time; example; sample; preparation"
41,"If I make this system [...] We, professors, sometimes are not the most proficient programmers there are, so maybe what we write is not in accordance with what is happening in the market today.

So it is in line with what is happening in the community as a whole, right? Always trying to bring it, because this area, specifically, it runs very fast. So, every semester I run this discipline once a year, there are very strong updates on what is happening.

You have to change the tools almost every semester or every two years. You've got to look at what are the popular tools right now.

So the challenge for me is that the cloud is constantly evolving. And so every semester what I try to do in my class, in my labs, I have snapshots of screenshots and circles and arrows and, you know, click on this and move there. Um, and that changes constantly.

So there's a lot of preparation in making sure that the tools still work the way they should, that the cloud still works the way they should, um, that the code doesn't have vulnerabilities in it. And that you've got all the right versions of stuff. So that's a lot of, uh, preparation then of course, as I said, you know, new technologies, like when Kubernetes came around, you know, you have to add Kubernetes to the class, constantly adding new technologies to the class move.

The big challenge for me right, is, uh, is keeping up with the technology [...] so it's just challenging to keep up with all the new technology that's out there in DevOps.

And so every so often I'll get folks who have taken one class and then they start using the wrong version of the tool for the second class, because they have an upgraded or something along those lines. 

We move through some technology on the application side, we'll move through a little bit of technology on the operation side. What does change is trying to keep up to speed and keep the class adjusted for, uh, what the current state of the art and the current understanding of best practices.

There's always double checking the technology, making sure that if you've got any automation in your class, it still works after all of the API changes may have gone into effect on say your cloud provider or, or whatever, making sure you're on the latest and greatest versions of whatever tooling that you're going to use and make sure that the hat that hasn't broken things and always missing something and suddenly be scrambling before class going, oh no, no, no. They've changed something. I need to figure this out.

Um, we got bit by that quite a few times where we built the stack plus G unit plus, uh, we use, um, uh, some additional libraries for front-end, uh, some scripts for building Docker images, some version of Maven, and you need an Artifactory, et cetera. You can get everything set up, everything works fine up to June. Then you go on summer break and then the next session comes up in September and you use what you've built well, too bad. In the middle of the summer, Jay, you need to release a new version that requires where some acts of Maven that requires this version of the stack of the student install from scratch on their machine.

The main, uh, challenge that we had was that DevOps is, there are many too many tools and, uh, many of these tools are not solid and are not commonly used yet.

 I mean devops is always evolving and we are not what we consider DevOps here is different for, from what was considered DevOps, let's say five years ago.

The lab session, they have to be like really precise. You have to, it would work one day. And then the second day it doesn't work because there's an upgrade in the Docker API that makes things totally different. Or you you're, you're using it in the Dockerfile, you're using keywords. And then suddenly the new version of Docker decide that those keywords are deprecated and that you should not, uh, declared the authors this way.

So keeping things up to date and making things work like really working in, in, in being able to run the labs, not in panic mode, that everything was fragile and everything was able to collapse at any point was really stressful. And of course, a lot of things, I think it costs me like twice or three times the cost of preparing a regular course.","Difficulty for teachers to keep up with the state of the art in the industry.

It is important to be up-to-date on industry tools every six months.

Every semester is necessary to update tools used on course.

The cloud are constantly evolving and it breaks labs every semester.

Lots of preparation to keep tools and environment working, secure and updated.

Keep up with new technologies is challenging.

Tool versions upgrades require updating the labs during the classes.

It is difficult to keep up the current state of art of devops industry practices.

Devops tools and APIs change fast and it may break your labs.

Exercises can be outdated in few months.

Many tools and some are not mature and not commonly used yet.

DevOps is always evolving fast in the last five years.

Lab session works one day and then doesn't work because there are changes like update in Docker API.

Keeping things up to date and making things working the labs is really stressful and time costing.",It's challeging to be up-to-date with industrial DevOps tools.,teacher constantly updated with the industry,class preparation,no,7,state of the art; tool; up-to-date; update; break; change; advance; improvement; pause; evolution; development; progress; preparation,"If I make this system [...] We, professors, sometimes are not the most proficient programmers there are, so maybe what we write is not in accordance with what is happening in the market today.

So it is in line with what is happening in the community as a whole, right? Always trying to bring it, because this area, specifically, it runs very fast. So, every semester I run this discipline once a year, there are very strong updates on what is happening.

You have to change the tools almost every semester or every two years. You've got to look at what are the popular tools right now.

So the challenge for me is that the cloud is constantly evolving. And so every semester what I try to do in my class, in my labs, I have snapshots of screenshots and circles and arrows and, you know, click on this and move there. Um, and that changes constantly.

So there's a lot of preparation in making sure that the tools still work the way they should, that the cloud still works the way they should, um, that the code doesn't have vulnerabilities in it. And that you've got all the right versions of stuff. So that's a lot of, uh, preparation then of course, as I said, you know, new technologies, like when Kubernetes came around, you know, you have to add Kubernetes to the class, constantly adding new technologies to the class move.

The big challenge for me right, is, uh, is keeping up with the technology [...] so it's just challenging to keep up with all the new technology that's out there in DevOps.

And so every so often I'll get folks who have taken one class and then they start using the wrong version of the tool for the second class, because they have an upgraded or something along those lines. 

We move through some technology on the application side, we'll move through a little bit of technology on the operation side. What does change is trying to keep up to speed and keep the class adjusted for, uh, what the current state of the art and the current understanding of best practices.

There's always double checking the technology, making sure that if you've got any automation in your class, it still works after all of the API changes may have gone into effect on say your cloud provider or, or whatever, making sure you're on the latest and greatest versions of whatever tooling that you're going to use and make sure that the hat that hasn't broken things and always missing something and suddenly be scrambling before class going, oh no, no, no. They've changed something. I need to figure this out.

Um, we got bit by that quite a few times where we built the stack plus G unit plus, uh, we use, um, uh, some additional libraries for front-end, uh, some scripts for building Docker images, some version of Maven, and you need an Artifactory, et cetera. You can get everything set up, everything works fine up to June. Then you go on summer break and then the next session comes up in September and you use what you've built well, too bad. In the middle of the summer, Jay, you need to release a new version that requires where some acts of Maven that requires this version of the stack of the student install from scratch on their machine.

The main, uh, challenge that we had was that DevOps is, there are many too many tools and, uh, many of these tools are not solid and are not commonly used yet.

 I mean devops is always evolving and we are not what we consider DevOps here is different for, from what was considered DevOps, let's say five years ago.

The lab session, they have to be like really precise. You have to, it would work one day. And then the second day it doesn't work because there's an upgrade in the Docker API that makes things totally different. Or you you're, you're using it in the Dockerfile, you're using keywords. And then suddenly the new version of Docker decide that those keywords are deprecated and that you should not, uh, declared the authors this way.

So keeping things up to date and making things work like really working in, in, in being able to run the labs, not in panic mode, that everything was fragile and everything was able to collapse at any point was really stressful. And of course, a lot of things, I think it costs me like twice or three times the cost of preparing a regular course. Difficulty for teachers to keep up with the state of the art in the industry.

It is important to be up-to-date on industry tools every six months.

Every semester is necessary to update tools used on course.

The cloud are constantly evolving and it breaks labs every semester.

Lots of preparation to keep tools and environment working, secure and updated.

Keep up with new technologies is challenging.

Tool versions upgrades require updating the labs during the classes.

It is difficult to keep up the current state of art of devops industry practices.

Devops tools and APIs change fast and it may break your labs.

Exercises can be outdated in few months.

Many tools and some are not mature and not commonly used yet.

DevOps is always evolving fast in the last five years.

Lab session works one day and then doesn't work because there are changes like update in Docker API.

Keeping things up to date and making things working the labs is really stressful and time costing. It's challeging to be up-to-date with industrial DevOps tools. state of the art; tool; up-to-date; update; break; change; advance; improvement; pause; evolution; development; progress; preparation"
42,"[...] it turned out that a lot of people did it in [...] different environments [...] for us, teacher, often we are not proficient in all of these.

Yeah, so challenges, um, differences in people's environments, their hardware, for example, every term, you know, if I want people to do something locally with, let's say, setting up virtual machines or containers or, or whatever, there's always some buddy who has some strange hardware configuration that causes problems.

We have some students on Mac, some on Linux, some on windows, some have, um, computers that are led by the university. They came up to class with computers, with family version of windows that cannot run Docker because there is no hypervisor in it.","Difficulty supporting the use of several different tools and environments at the same time.

Differences in people's environments and their hardware configuration cause problems.

Different types of OSs can difficult the flow of environment setup.",It's difficult to deal with different hardware and software.,Difficulty supporting multiple tools and environments,tool / technology,no,3,tool; environment; hardware; tool; technology,"[...] it turned out that a lot of people did it in [...] different environments [...] for us, teacher, often we are not proficient in all of these.

Yeah, so challenges, um, differences in people's environments, their hardware, for example, every term, you know, if I want people to do something locally with, let's say, setting up virtual machines or containers or, or whatever, there's always some buddy who has some strange hardware configuration that causes problems.

We have some students on Mac, some on Linux, some on windows, some have, um, computers that are led by the university. They came up to class with computers, with family version of windows that cannot run Docker because there is no hypervisor in it. Difficulty supporting the use of several different tools and environments at the same time.

Differences in people's environments and their hardware configuration cause problems.

Different types of OSs can difficult the flow of environment setup. It's difficult to deal with different hardware and software. tool; environment; hardware; tool; technology"
43,"Then the boy will go in a week, he will only have his entire environment set up, right? But, this creates challenges too, right? That it will be difficult to do this and such.

We had to work to do on the labs. ...  the assistant I had two for the labs was too busy with too many things.

That's really complicated as, um, like as a teacher, uh, then we decided to move for on premises, uh, version with our own, uh, systems for deployment building and everything, uh, another disaster, because then it requires a lot of maintenance and a lot of them, of course, or the students are going to work like in the two days before the room, the, um, the delivery of the project.","A lot of time preparing the initial environment setup of students.

Lots of work to setup the labs even if you have teacher assistants.

On premises systems for deployment everything is complicated because it requires a lot of maintenance and time.",Prepare the labs environment requires a lot of time.,No time for initial setup of student environment,environment setup,yes,3,time; lab; environment; setup,"Then the boy will go in a week, he will only have his entire environment set up, right? But, this creates challenges too, right? That it will be difficult to do this and such.

We had to work to do on the labs. ...  the assistant I had two for the labs was too busy with too many things.

That's really complicated as, um, like as a teacher, uh, then we decided to move for on premises, uh, version with our own, uh, systems for deployment building and everything, uh, another disaster, because then it requires a lot of maintenance and a lot of them, of course, or the students are going to work like in the two days before the room, the, um, the delivery of the project. A lot of time preparing the initial environment setup of students.

Lots of work to setup the labs even if you have teacher assistants.

On premises systems for deployment everything is complicated because it requires a lot of maintenance and time. Prepare the labs environment requires a lot of time. time; lab; environment; setup"
44,"Material heterogeneity is the biggest challenge. You have to set up a class sewing the fonts, right?

When I started preparing, there was not a buy the book, a ""kit"" a suggestion for a course, there for you to start, it is a good start, right?","There is no unified material for teaching DevOps.

There is no complete material to teach DevOps.",Unknown unified material for teaching DevOps.,There is no unified material for DevOps teaching.,class preparation,yes,2,material; preparation,"Material heterogeneity is the biggest challenge. You have to set up a class sewing the fonts, right?

When I started preparing, there was not a buy the book, a ""kit"" a suggestion for a course, there for you to start, it is a good start, right? There is no unified material for teaching DevOps.

There is no complete material to teach DevOps. Unknown unified material for teaching DevOps. material; preparation"
45,"Because you take so many different things that I feel a bit sorry, in quotes, to pass everything on to the students. ... So, I think it's a difficulty, from the point of view, like, the pedagogical type of setting up the classes and such. It would be that, the condensation of everything, let's say, the centralization of the material in what you produced, right?

I use a couple of books, um, and, uh, as I said, to to be able to own, um, they cover many different topics. And so I tried to use one over, two picks in it. [...] I still think that, uh, the idea scenario would have been able, will have been, to be able to do a situation where I can take several topics in the book and then cover them from the beginning to them. But, uh, I haven't been able to find that possible yet.","Difficulty in resuming sufficient and suitable material for class lessons.

It is necessary to use multiple books because they do not cover all concepts.",Difficulty in using multiple materials to create the classes.,Difficulty in condensing suitable material for classes,class preparation,no,2,material; preparation,"Because you take so many different things that I feel a bit sorry, in quotes, to pass everything on to the students. ... So, I think it's a difficulty, from the point of view, like, the pedagogical type of setting up the classes and such. It would be that, the condensation of everything, let's say, the centralization of the material in what you produced, right?

I use a couple of books, um, and, uh, as I said, to to be able to own, um, they cover many different topics. And so I tried to use one over, two picks in it. [...] I still think that, uh, the idea scenario would have been able, will have been, to be able to do a situation where I can take several topics in the book and then cover them from the beginning to them. But, uh, I haven't been able to find that possible yet. Difficulty in resuming sufficient and suitable material for class lessons.

It is necessary to use multiple books because they do not cover all concepts. Difficulty in using multiple materials to create the classes. material; preparation"
46,"And sometimes you took a little bit of such a thing, right? Not all that text was relevant, you know? So, your material ends up becoming the only source, let's put it that way. For students, I've already figured that out, like, you know? People studied and such, they went a lot for the material I prepared. When the material I was preparing was, let's say, it was a set of slides, right? Which doesn't serve that much, from the point of view, right, from having a more in-depth reading and such. So, I think it's a difficulty, from the point of view, like, the pedagogical type of setting up the classes and such.

There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.
So, all this traceability of what was done to what they are going to do, was the very difficult part [...] So, you can't think about doing a theoretical thing, you have to have practice, you can't just to be just practical exercises, it has to have a whole journey, a well-established train of thought. It was quite tricky to get to that topic.

 So part one is the three ways, just give you an overview of the, each of the three way. And then you have one part essentially for each of the three ways. And I think that the first two parts of the book you can find online, but, but not, not as a, someone who puts it in PDF, but from the publisher, from, from revolution, publisher and official version. So you can read it from the way.","Students rely heavily on the teacher's slide material, which is often limited.

The students don't read the suggested book even if you strongly encourage them.

Students tend to get short free versions and not full versions of books.",Students rely on limited material instead of reading books.,Strong reliance on student-limited support material,strategies in course execution,no,2,material; strategy; execution,"And sometimes you took a little bit of such a thing, right? Not all that text was relevant, you know? So, your material ends up becoming the only source, let's put it that way. For students, I've already figured that out, like, you know? People studied and such, they went a lot for the material I prepared. When the material I was preparing was, let's say, it was a set of slides, right? Which doesn't serve that much, from the point of view, right, from having a more in-depth reading and such. So, I think it's a difficulty, from the point of view, like, the pedagogical type of setting up the classes and such.

There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.
So, all this traceability of what was done to what they are going to do, was the very difficult part [...] So, you can't think about doing a theoretical thing, you have to have practice, you can't just to be just practical exercises, it has to have a whole journey, a well-established train of thought. It was quite tricky to get to that topic.

 So part one is the three ways, just give you an overview of the, each of the three way. And then you have one part essentially for each of the three ways. And I think that the first two parts of the book you can find online, but, but not, not as a, someone who puts it in PDF, but from the publisher, from, from revolution, publisher and official version. So you can read it from the way. Students rely heavily on the teacher's slide material, which is often limited.

The students don't read the suggested book even if you strongly encourage them.

Students tend to get short free versions and not full versions of books. Students rely on limited material instead of reading books. material; strategy; execution"
47,"There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.","The DevOps concepts collaboration, communication and organization are difficult to assess due to the high degree of subjectivity.",,Difficulty in subjective DevOps concepts during assessment.,assessment,yes,1,collaboration; communication; organization; assessment; subjectivity; participation; partnership; conversation; concept; theory; management; evaluation; interaction; discussion,"There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate. The DevOps concepts collaboration, communication and organization are difficult to assess due to the high degree of subjectivity.  collaboration; communication; organization; assessment; subjectivity; participation; partnership; conversation; concept; theory; management; evaluation; interaction; discussion"
48,"There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.

The teaching plan, where I am going to start, where I am going to go, what is next. So, structuring this sequence of subjects to be covered, of how you are going to connect the subjects, which is the hardest part.","Difficulty in structuring the learning journey.

Difficulty to create a teaching plan, especially connecting the covered subjects.",Difficulty in structuring the learning journey.,Difficulty in structuring the learning journey,class preparation,no,1,teaching; planning; concept; syllabus; theory; training; learning; preparation; curriculum,"There are concepts of collaboration, communication, organization that are a little subjective, right? So, it's a little harder for you to evaluate.

The teaching plan, where I am going to start, where I am going to go, what is next. So, structuring this sequence of subjects to be covered, of how you are going to connect the subjects, which is the hardest part. Difficulty in structuring the learning journey.

Difficulty to create a teaching plan, especially connecting the covered subjects. Difficulty in structuring the learning journey. teaching; planning; concept; syllabus; theory; training; learning; preparation; curriculum"
49,"team of monitors [...] If you don't have it, it gets heavier, it's more difficult, you alone evaluate. Take a class with forty students, even if you divide it into teams, it's a lot for you to evaluate.",Large class assessment requires great effort.,,Requirement of great effort during assessment of large classes,assessment,no,1,class; assessment; evaluation,"team of monitors [...] If you don't have it, it gets heavier, it's more difficult, you alone evaluate. Take a class with forty students, even if you divide it into teams, it's a lot for you to evaluate. Large class assessment requires great effort.  class; assessment; evaluation"
50,"the real challenge was when I started doing it, which I didn't have any. Then, building from scratch is more difficult, there is no baseline. [...] [...] these types of challenges, they are more related to the nature of the subject, not the object, that is: what type of content, how will you conduct this course, how will you want to conduct the discipline.

I didn't find any course, really I was looking for courses in devops, like yes, there were courses that talk about kubernetes that these, yes. There are courses that talk about, uh, integrated testing. Yes. There are courses. We talk about AWS and cloud, but I didn't find any course on devops that I can two years ago that I'm almost like three years ago now when I started to work on it, um, use as a basis. Right. So the first semester was a nightmare. 

In 2018, 2019, and yet no universities have a program in DevOps, no universities, essentially very few universities have a course in DevOps.

If you want to teach devops, it's really difficult to find, uh, supports, like finding a way to understand how it's towards elsewhere. It's really complicated because there's not a lot, of course that grant themselves as DevOps, basically because it's often hidden because it's something technical you're not supposed to teach.","Difficulty in setting up classes without a prior reference ones.

It isn't easy to create a DevOps course without having another course as a reference.

Few universities have a DevOps course.

It's really difficult to find supports if you want to teach DevOps.",It is difficult to create a DevOps course without a previous reference ones.,Difficult during the creation of the classes without reference to a previous discipline.,class preparation,no,3,reference; support; class; resource; preparation,"the real challenge was when I started doing it, which I didn't have any. Then, building from scratch is more difficult, there is no baseline. [...] [...] these types of challenges, they are more related to the nature of the subject, not the object, that is: what type of content, how will you conduct this course, how will you want to conduct the discipline.

I didn't find any course, really I was looking for courses in devops, like yes, there were courses that talk about kubernetes that these, yes. There are courses that talk about, uh, integrated testing. Yes. There are courses. We talk about AWS and cloud, but I didn't find any course on devops that I can two years ago that I'm almost like three years ago now when I started to work on it, um, use as a basis. Right. So the first semester was a nightmare. 

In 2018, 2019, and yet no universities have a program in DevOps, no universities, essentially very few universities have a course in DevOps.

If you want to teach devops, it's really difficult to find, uh, supports, like finding a way to understand how it's towards elsewhere. It's really complicated because there's not a lot, of course that grant themselves as DevOps, basically because it's often hidden because it's something technical you're not supposed to teach. Difficulty in setting up classes without a prior reference ones.

It isn't easy to create a DevOps course without having another course as a reference.

Few universities have a DevOps course.

It's really difficult to find supports if you want to teach DevOps. It is difficult to create a DevOps course without a previous reference ones. reference; support; class; resource; preparation"
51,"This teaching plan is not and should not be completed, right? He doesn't have it, he's never ready. ... Things change too fast, the focus changes too fast.",Rapid and constant changes in DevOps make it difficult to create a teaching plan.,,Challenge during the creation of the teaching plan related to rapid and constant changes in DevOps  ,curriculum,yes,1,teaching; planning; change; training; update; advance; organization; change; improvement; evolution; curriculum; syllabus; schedule; progress,"This teaching plan is not and should not be completed, right? He doesn't have it, he's never ready. ... Things change too fast, the focus changes too fast. Rapid and constant changes in DevOps make it difficult to create a teaching plan.  teaching; planning; change; training; update; advance; organization; change; improvement; evolution; curriculum; syllabus; schedule; progress"
52,"""DevOps ends up forcing you to tap into a lot of other universes, right? Especially if you go into project as an evaluation method. So, that's another big challenge, you keep an eye out for what's going on, which can be correlated and which you can bring as an open scope to be worked also in the discipline, with this type of direction. Which in my case, comes AI student, Bank student, Software Engineering student, pay for the post, and that then you can't just stay in the context of developing software, delivering software on DevOps, right? There's a whole other context of things related, for example, to operation, infrastructure analysis, learning, prediction, and so on.",Difficulty in linking DevOps classes with other subjects of interest to students.,,Difficulty related to linking DevOps with other disciplines,devops concepts,yes,1,linking; subject; class,"""DevOps ends up forcing you to tap into a lot of other universes, right? Especially if you go into project as an evaluation method. So, that's another big challenge, you keep an eye out for what's going on, which can be correlated and which you can bring as an open scope to be worked also in the discipline, with this type of direction. Which in my case, comes AI student, Bank student, Software Engineering student, pay for the post, and that then you can't just stay in the context of developing software, delivering software on DevOps, right? There's a whole other context of things related, for example, to operation, infrastructure analysis, learning, prediction, and so on. Difficulty in linking DevOps classes with other subjects of interest to students.  linking; subject; class"
53,"There are several environments in the cloud, but they all cost money.",Environment set up in a cloud service cost money.,,Environment set up in a cloud service cost money.,environment setup,no,1,cloud; environment; setup,"There are several environments in the cloud, but they all cost money. Environment set up in a cloud service cost money.  cloud; environment; setup"
54," However, last semester eight of my students showed up with apple, M one Silicon Macs and they don't run VirtualBox because VirtualBox only runs on Intel. It's not an emulator. It is a virtualizing layer, right? It needs an Intel CPU in order to virtualize. Um, and so I had to change the class for them to use Docker and VirtualBox. ",VirtualBox has limitation in MacOS.,,limitation of VirtualBox,tool / technology,no,1,virtualbox; virtualization; tool; technology," However, last semester eight of my students showed up with apple, M one Silicon Macs and they don't run VirtualBox because VirtualBox only runs on Intel. It's not an emulator. It is a virtualizing layer, right? It needs an Intel CPU in order to virtualize. Um, and so I had to change the class for them to use Docker and VirtualBox.  VirtualBox has limitation in MacOS.  virtualbox; virtualization; tool; technology"
55,"You have to find a set of tools that work together.

 For many people, getting them all to work together can be particularly challenging.","You have to find a set of tools that work together.

For many people, getting all technologies to work together can be particularly challenging.",Getting all DevOps tools to work together is challenging.,Challenge of integration of all DevOps tools together ,tool / technology,yes,2,tool; technology; integration; tool; technology; automation; combination,"You have to find a set of tools that work together.

 For many people, getting them all to work together can be particularly challenging. You have to find a set of tools that work together.

For many people, getting all technologies to work together can be particularly challenging. Getting all DevOps tools to work together is challenging. tool; technology; integration; tool; technology; automation; combination"
