Interview,Recommendation,Interview Quotes,Abstracts
4,73,"So, the first thing, uncouple the database connection that is versioned in the source code. You can still version the String os; although it's not the best practice, you don't have to comment out the code to change the environment because TomCat will read it from there. Versioning in a git, using a continuous integration like Jenkins, for example, and a constant deploy, a continuous delivery with, it can be with an Ansible, it can be with any tool you deliver or in a VM or the Cloud.","Carry out the following practical activities during the course: the first step is to decouple the database connection from the system code, then version the code with Git, insert continuous integration with Jenkins, and finish with constant delivery using public cloud services or tools with Ansible."
4,74,"Make it very clear, pedagogically, that I think it involves an exemplary sound configuration so that the student can hear you well, always with the camera open, even if the student doesn't open it, because he can't, but let him see you, that he feels this approach as much as possible.","Provide a comfortable learning environment for the student, such as remote teaching, which requires adequate audio and video equipment."
4,75,"Within the menu, try to avoid making the student dependent on that stack you are teaching. So, if you're going to explain Jenkins, take half an hour to explain the pipeline in another tool, so he can see that it's possible. So he doesn't come out with the recipe ready. As much as we don't deliver it, the student creates a recipe in his head, and it won't fit in all of his daily routines. Then it will generate frustration. So, make it clear, look, can you see what we're doing? We're doing it for that reason, at Jenkins. Today we are going to use Bitbucket, for example, which is how we do it. One, as an example, correct?",Show the student that there are several ways and tools to do the task.
5,75,"They said: teacher, I can do it in such language, I can do it in such a platform, can I do it like this? [...] So, I am not going to say that there were, I do not know, six, seven, different environments, right? That there was, but let us put two or three, right, different ones. So, for us, professors, we are often not proficient in all of these, right? So, then the person will have to clarify a doubt, then you say: man, I don't know. So, you decided to do it there, you kind of jump up, like, you know? The most we can do is try to convey the concepts, right? And when the person has a very big doubt like that, you say, boy, try to explain to me how this technology is there that you are using see if I can at least translate the things that I know, that is it.","Teach in a way that knowledge can be applied in different tools, but not focus on the possible specific problems of each technology."
5,76,"I ask the students to implement a straightforward system, which will serve the entire subject. In this minor system, we're going to have tested; there's going to be built, there's going to be continuous integration, there's going to be deployment, you know?

This part of the system, which I ask them to do to monitor the discipline [...] When you go to configure the tools and such, as you were the one who developed the system, it becomes easier, I believe for you to understand all the automation and such. However, at the same time, I see that the guys have much difficulty in doing it.","Use a simple example system made by students.

Students build their own systems during the course in order to increase their understanding of automation."
5,77,The point is to try to exercise as many tools as possible to provide everyone [...] with a range of things to apply in your daily life when you see the need.,Exercise as many tools as possible.
5,78,"Because you have to have the mentality that you will have to get materials from different sources, right? ... you'll have to resort to gray literature, right, which is this literature from the blog, the medium, the Nubank or Netflix blog, which are sensational articles, but that don't have that scientific rigor, peer review, and such. So, like, I think the DevOps teacher needs to understand that he's in this environment, right?

Material heterogeneity is the biggest challenge [...] you have to set up a class sewing the fonts. So, sometimes, for example, in my integration course, I have to give several concepts, right? For you to talk about continuous integration, you need to talk about version control. You need to talk about build. You need to talk about testing. There are several things that are part of continuous integration, right? So, git-flow is not in the book, you know? Branch, development models, that's not in the book.","Use various sources of DevOps study materials, such as gray literature, blog (medium, Nubank, Netflix).

It is necessary to make use of several sources when creating the course."
7,78,"Most of the references, the most interesting cases that I considered bringing to the room are posts on INFO2, on Metzone, Hacker News, Twitter posts, Airbnb case study, Glitch, Orbitz, and such; other cases of those that are much more interesting than necessarily, books or scientific academic articles.","Information in gray literature is more interesting to illustrate DevOps use cases: posts on INFO2, Metzone, Hacker News, Twitter, Airbnb case studies, Glitch, Orbitz."
5,79,"This part of the system, which I ask them to do to follow the discipline, [...] I'm seriously thinking about the idea of ​​simply giving them a system.

If I make this system, I can pass it on to people in a much simpler way, right? How do they do things and such.","Deliver a ready-made sample system for students to use.

Using an example system designed by the teacher will give more confidence in supporting students during the course."
5,80,"Maybe it makes sense for you to provide the environment for the students, right? And this provision, you can use a docker of life, which comes already, right?",Provide initial environment setup for students.
10,80,"I ended up doing was to give each group a big virtual machine. And on that machine, they run three or four Docker images. Uh, one with Artifactory, one with Jenkins.","Give each group a big virtual machine. And on that machine, run three or four Docker images. One with Artifactory, other with Jenkins."
5,81,"You need to talk about version control; you need to talk about build; you need to talk about testing; several things are part of continuous integration. So, git-flow is not in the book, you know? Branch, development models, that's not in the book. Then you start going to blogs and such, you know? Then, you will talk about software testing; if you were a software engineering book, this part of testing is extremely weak, so it is highly conceptual; there is nothing. Then you can get the articles.","Version control with git feature branch workflow, build, continuous integration, and software testing content should be taught."
8,81, I teach them about the git feature branch workflow.,Teach git feature branch workflow.
9,81,"Some of this even goes down to git right, because a lot of people coming in know something about git a lot don't um, in many ways, my opinion, which I realize is, is probably not widely shared is that even if we were restricted from a software engineering department perspective, almost everything we're teaching should be retooled along devops lines, uh.",Use git to teach how to manage the code.
10,81,"We've introduced recently is a notion of digital branches and feature branches, for example, uh, linked to stories, but we try to just give them small individual tools.",Introduce the notion of digital branches and feature branches using small individual tools.
5,82,"Something I don't do. I realize that I will need to do it, but it's precisely documenting, right? Those fonts, in case you need to revisit, eh, eh, because it's so easy, right? You open a blog and stuff, you close the tab, and it died like that. So, somehow you, you are always documenting, where you got it, where you got it from, keep these links, if you have to, if you need to revisit there in future versions of the course, I don't know.","Document the consulted material, facilitating future access."
5,83,"For this part of continuous integration, [...] When you talk about continuous integration, there are several tools you can use. So, you can use Jenkins; you can use Travis; you can use Circle CI, now Github Actions is here, you know?","Use Jenkins, Travis CI, Circle CI and Github Actions in teaching continuous integration."
8,83,"And then I teach them, CI continuous integration. I show them how to use Travis to automatically run the test cases.",Teach continuous integration using travis to automatically run the test cases.
12,83,"From a tooling point of view, um, for the pipeline, we, we recommend Travis CI.",Use Travis CI for the pipeline.
13,83,"There are many checks in this course, we had to make sure that the students had done this and that, and that these, uh, checks could be, uh, automatized by your students. And they had, they added some GitHub actions and to the repository.",Do automation with Github actions.
14,83,I want the code to go through a pipeline. It could be Jenkins. It could be github actions. It could be gitlab workflow. It could be GitHub action.,"Use Jenkins, GitLab, or Github Actions as pipeline orchestration tools adopted by the course."
5,84,"Jenkins, let's put it this way, he, even though he's challenging because he's not the easiest thing in the world to set up. These pains, I also think it's essential for the guys [...] Jenkins you don't pay anything [...] These pains, I also believe it is necessary for the guys when you get something a CI that works in the cloud and such, notice, hey, look how easy.","The difficulties of configuring CI tools like Jenkins are essential to student learning, facilitating a future transition to cloud CI tools."
5,85,"The recommendation would be that it would be to get tools that are minimally relevant, right? And so that you can present the different cost-benefits of each one.",Introduce students to minimal relevant tools and their tradeoffs.
9,85,I try to pick a few key ones.,Use few key tools.
5,86,I always pass some written evaluation of the basic concepts [...] I like the students to express in their own words what they understood [...] mainly from the cultural part.,Use assessment writing of basic concepts and DevOps culture so that students can express what they understand in their own words.
8,86," And the final exam, I keep, I keep the questions mostly conceptual, right. Because let's face it. If you understand the concepts, you can Google the details, right. But you don't know the concepts, you don't know what the Google, right. ... I do put some questions in that they would have only learned had they participated in the project.",Keep the exam questions mostly conceptual and about participation in the project in the final exam.
9,86,"The exams are really more the conceptual or philosophical elements stuff, where there is a little more of a, a cut and dry response, or at least I try to structure them that way.",The exams have more conceptual or philosophical elements.
5,87,DevOps [...] In the specialization course [...] you can break all this content into more extensive disciplines.,It is possible to break the teaching of DevOps into various disciplines in a DevOps specialization course.
5,88,"So, there are some things that you cannot miss. All, if you see the cute little DevOps cycle figure there, right? All that part of compiling, testing, making, monitoring, and evaluating, I think all of this needs to be charged in some way; it has to come in somehow.","The basics of building, testing, deploying, and monitoring should be present in a DevOps course."
13,88,"I would have some more, uh, time for, uh, for basics of, uh, basics of DevOps and the old technologies, and not only focus on the things that are, uh, that are very novel and very being developed right now. So, uh, because that would give students a better opportunity to, uh, understand the, uh, the other things as well.","Not just focus on the current, but teach the basics of DevOps and older technologies to a better understanding."
6,89,"During creation [...] Everything is already prepared, and the groups are always the same [...] it is the same booklet, the same content, the same teaching didactics, so there is no preparation for each class, you know? It was just an initial preparation.",Standardize the teaching material for all classes.
6,90,"Training is limited [...] we will have to cut it, right? Focuses on tools, but which tools. So, this was a big challenge, so to think about which themes are essential, which means to teach, within each piece, right?",It is necessary to choose which topics and tools are essential as the course time is limited.
6,91,"the recommendation is to look at the market, search, see on Twitter, discussion groups, see what's hot on Google Trends. To know how to choose a tool that is more popular, right? That it is used more and that more people can enjoy the content there, right? Because they are tools they are already used to using.","Research market tools on Twitter, discussion groups, Google Trends, as they are probably the tools that students are used to using and will take advantage of in their work."
7,91,"The recommendation is to see what the market is using, right? Moreover, trying to go with what is most used, like, it was no use messing with CRIO if everyone uses Docker.",Use the most relevant tools on the market like Docker.
8,91," I also try to use a set of tools that are popular in the industry.

It is very critical to teach them tools that are relevant and tools that will help them get a job.","Use popular industry tools.

Teach tools that will help to get a job."
9,91,"Setting up good logging monitoring notifications, some of these other open source tools that provide that kind of those kinds of capabilities. ... So I try to pick a representative sample open source, always cause I don't want people to be buying things.",Use representative open source industrial tools.
11,91, I try to use as much as possible with tools that people use in industry and companies.,Use as much as possible relevant industry tools.
12,91,I wanted to go with open source technologies so I can explain later how we build the labs.,Prefer to use open source technologies.
6,94,"Which tool to choose, which one had to see, which was more standard in the market, which was more straightforward, which is even easier to teach, and how to fit it in, right?

You don't know what is Docker yet, but here's a common line. Just run it. And then here's a common line to run. Artifactory you don't know what it means, just type it like this. Um, it will give you an Artifactory that's running.","Use the simplest tools chosen by the market as a method of selecting the tools that will be adopted during the course.

Use the tools like Docker and Artifactory in simplest way."
6,92,"Of first showing the history, showing the motivation, showing the problem, and making some hooks with possible solutions that Devops was bringing, suitable?","The assembly of classes should follow the following steps to use DevOps: history, motivation, problems that can be solved, and possible solutions with DevOps."
6,93,"So, we ended up choosing Java because it is the greatest strength; ours, that was Java.",Use a programming language that the teacher knows.
6,95,"We don't evaluate, [...] but we keep observing, right, the students, and such throughout the training.",Monitor student progress throughout training by conducting a traditional assessment.
6,96,"One important thing for me, which became apparent during my studies, is that I had to show the background, the motivation somehow, so I wanted to fit it in any way in the curriculum at the beginning, showing the history of software development [...] include these topics, like, more historical, which are not good, are not technical, right? But in a way that isn't too boring, you also [...] have to fit this with the technical part [...] With concepts of continuous integration, continuous delivery, continuous deployment, tools, automation, anyway.","Contextualize the historical aspects and definition of continuous integration, continuous delivery, continuous deployment, and automation concepts."
6,97," I had to show the history somehow... the history of software development, showing about the processes. Cascade, RUP, agile, talk a lot about agile, because it's related and fit these topics, so, more historical, not sound, not technical... And make a parallel, there, with the agile world with the problems that DevOps came to solve, right?","It is important to show the relationship of DevOps with software development models, notably Agile."
9,97,"I'm trying to tie the application of the devops principles and techniques and technologies, and to, and to link that together with agile approaches, for example.","Tie application of DevOps principles, techniques and technologies with Agile approaches."
10,97,"We help them manage stories, backlog. Uh, so it's more on the front of, we give you requirements.",Help students manage stories and backlog.
12,97,"If you want to be able to experiment and, and to, to, to do the postmortem so that you can learn and you can solve issues and stuff.

I have to do more of this, um, story telling. ... I'm trying to share my experience with the students.","Make post mortem with the students to solve problems.

Use storytelling to share experience with the students."
6,98,To get Everything ready to avoid problems and lose the focus and essence of the group.,Start a class with a pre-organized structure.
7,100,"Working so hard on the theoretical aspects needed to understand why things in DevOps are in SRE as a whole [...] you have to have that.

Thus, DevOps and SRE are concepts that were born much more strongly in practice than in state of the art, that is, much more in the industry than necessarily in the university. So for you to deal with these concepts without making a real explanation, or bringing the main players about how they did it and why they did it, it is essential.","Relate devops to site reliability engineering (sre) for students.

Show the historical importance of DevOps and SRE concepts from the main players in the industry."
7,103,"To bring the concept applied, then use a CDL approach, or PBL, that helps a lot, because then you have to present the problem and then show the idea behind the resolution of that problem.",Make use of the Comprehensive Distance Learning (CDL) teaching methodology.
7,104,"DevOps comes very close in these quirks of software architecture-like chairs. You can't just stick to the concepts. In theory, you have to show the realization of these things.",It takes practice to understand DevOps concepts.
8,104,"You have to learn by doing.

You can't learn the DevOps culture from a book.","It is necessary to practice DevOps knowledge.

You can't learn the DevOps culture from a book."
10,104,"Once you've been to the exercise session, you have to go back to the concept again and display them again because the, some concept only makes sense when you apply them.

I was saying at the beginning is that when you tell them that they're going to get their hands dirty and things that work one day will not work the other day, they start laughing. They don't take it seriously. Um, and then when they, when they building and they build a script to, I don't know, run some integration tests or to magically build Docker images and deploy them, it works on the machine on one guy of the group because they're working group, right? So they talk together. The one guy actually typing on the keyboard, he commits a script and they go, yes, we're done for the day. Let's go to some of the tasks, right? And then the next day somebody else was in the group wants to use it. And it doesn't work for them because they have a different environment because the script was assuming that the Docker was installed.","DevOps concepts need to be shown in practice so that students can understand.

Students only understand problems of the environment setup when they experiment in the practice."
13,104,"If we can have a students together working together and, um, working on the projects and developing projects together at the same time while the teachers are there and they, uh, we can, uh, see what they are doing, that would be better. And I think we will, uh, hopefully do this, uh, next year when grown-up situation gets better.",Promote a moment to students practice while teachers are around to help them.
7,105,I usually study the subject to understand and then see the best way to explain that subject.,Study the subject thoroughly before preparing for classes.
7,106,"You propose the dynamics and have these things move the group because otherwise, it gets so dull.",Use dynamics to inspire the class.
7,108,"I try to bring this up: Mesos, Marathon, then Swarm, even to exercise the concepts is more accessible, lighter than Kubernetes, and then after Kubernetes, Rancher, for example.","Initially, adopt more straightforward tools such as Mesos, Marathon, and Docker Swarm before using the Kubernetes tool."
7,109,"Some settings you can have for us to help, like, oh, you have the monitors team, for example, this allows you to go to a more excellent practical line because you'll have more arms to help you, evaluate and everything else.","If possible, have a team of monitors to assist in the assessment process."
13,109,"We had to do as TAs and other things I think, uh, we, it's not, uh, only before the lecture, but during the whole, uh, time that this, uh, this course was, uh, going on, we had to check the, uh, check the github. And, um, students had, since they had to make some contributions, uh, we had to make sure that their contributions, uh, could pass all the checks that we had. [...] So we had to check that they were doing what they were supposed to do before the lectures, during the lectures and after it. So that was our, uh, our role in this course.",Teacher assistants check if students contributions pass all the roles of the course.
14,109,"What we've done in this case was to let the TA grade the projects, um, because then it was way more simple. And as the two props, we were, uh, grading the exams and were like cross validating.",Teacher assistants grade the projects and the professors grade the exams with cross validating.
7,110,"Because it is based on the assumption in all my disciplines that, right, knowledge is an open work, right? I'm not the holder of all knowledge [...] So they learn to curate what is relevant, necessary or not, is part of my teaching and learning processes.

So, in my activities, I always try to put a decision-making Delta that belongs to the team, right? To the students and who will obviously assess their understanding in all the semester's discussions. So, all decisions are valid, obviously, right?","Instigate students' critical thinking and encourage the self-taught search for extra-class information.

Promote and evaluate students' independent decision-making in the learning process."
7,111,"I already have mine that has my discipline ready, right? So the challenge, for those who will start one, is less.

I already have mine that has my discipline ready, right? So the challenge, for those who will start one, is less.","You can use the discipline that the interviewee professor Vinicius elaborated as a reference for the elaboration of other DevOps disciplines.

Use other DevOps courses as a reference."
7,112,"PBL matches very well with, at least like this, how I see the DevOps signals or architecture, or MicroServices, which is another discipline I have; it's cool because you can start from the problem and show why people are using what are you using. So I think it matches perfectly.

Bringing the concept applied, then use an approach like CDL, or PBL, that helps a lot because then you have a way to present the problem and then show the concept behind the resolution of that problem.","Make use of Problem-Based Learning (PBL).

Problem-Based Learning (PBL) is great for teaching DevOps."
11,112,"Most of the time to give a problem solving questions where I put a problem and say, okay, and push a student to critically think. ... , I put a problem and then we'll come up with the solutions for the problem. And I haven't been able to find a good way to do that with DevOps, in, uh, in terms of assessment.",Use problem solving questions in DevOps assessment. It pushs student to critically think.
14,112,"We decided to go on a problem-based approach. So having like introductory lecture, giving the context, giving the leads to follow, then getting a problem based on, on, uh, like a long-term project for the whole semester.",Use problem-based approach on the projects of the students.
7,113,"Today, I don't use it; I use not only PBL; there is an inverted classroom, right? I think this translation is into Portuguese; I work with missions, right? So, the execution itself is Agile; we always have a post-mortem for each task. My methodology today, at work, is a combination of a series of different good practices that come from my professional experience and part of what I learned, seeing that it worked and didn't work while teaching.","Merge good practices of Problem-Based Learning (PBL), inverted class and Agile, through classroom experimentation."
8,114,I break them up into nine teams of five students each.,Organize the students into teams of five.
9,114,"For this course, I haven't done as much in terms of team projects, although I'm rolling that around to every, because everybody loves team projects.",Students like to work on team projects.
10,114, There was something like 17 groups.,Students organized by groups.
11,114,"I put them by a team of four, six per group, and then we work together and, and that's good also because it may be working in a team.",Put students to work by a team of four to six per group.
8,115,"And then I tell them, I am not going to grade you on what you submit. I'm going to grade you on how you got there because getting there is not the point. It's the journey, right? That's the point. It's how you got there. And so, um, I teach my class in sprints. We do five, two weeks sprints in a 15-week course. And I give them the requirements for each sprint, what I need them to build. And I teach them how to do agile planning. And then they go build an agile plan.

So I try to force them into these situations that really drive home the message of how to work as a DevOps team, how to work agile, but you've got to live it.","I teach my class in sprints. We do five, two weeks sprints in a 15-week course. I give them the requirements for each sprint, what I need them to build and I teach them how to do agile planning. Then they go build an agile plan.

Make students experiment situations where they can learn how to work as a DevOps team, how to work agile."
9,115,"So we do things in sort of an iterative and incremental model where every week or every sprint, if you will build on the previous one.",Use an incremental models with sprints.
8,116,"Those are the ones you remember, right? Not just read, right? If you learn in the abstract, you'll soon forget it. But if you learn in context, then you'll remember it because you understood why you did it. So I try to teach them just enough to get them going.",Teach just enough to get them going so they can learn in the right context.
9,116," I used to have people stand up during Jenkins instances to do the work, but that just at the end of the day, that's a distraction. My goal is not to teach them how to administer Jenkins.

I'm having conversations with the university about trying to take the devops course and essentially converting it to a three course sequence one for agile, one for kind of the dev part of devops and one for the ops part of devops.So second one is about establishing the pipeline and then they finish the second one by, uh, building the Docker images. But it's not in depth about containers or, or kubernetes, but that's easily touch it. Okay.","Do not focus on unnecessary features of tools like avoid administering Jenkins if you want to practice continuous integration.

You cannot possibly get through everything in details."
12,116,"So second one is about establishing the pipeline and then they finish the second one by, uh, building the Docker images. But it's not in depth about containers or, or kubernetes, but that's easily touch it. Okay.

They need to do concrete things ... it's to be able to traverse the whole thing without necessarily going in depth about all of these things.

I need very solid, uh, research. It's a sorry, a lab assistance. The people responsible for the labs of course, assistants that that can actually deal with the students. So I'm lucky to have students and have good industrial experience, uh, to do that.","Teach how to use tools like Docker and Kubernetes but do not much depth.

Do concrete things without necessarily going in depth about all.

Do not teach deeply some hard technologies like Kubernetes."
8,117,"I teach them how to work as a DevOps team. And we create a slack channel. , and I create a channel for each one of the teams. And they're all collaborating in their channel. They have 24/7 access to me. They can ping me at any time on slack.

You have a question, ask me the question in the moment, right? Because that's when the answer is important to you.","I teach them how to work as a DevOps team. And they're all collaborating in their channel. They have 24/7 access to me. They can ping me at any time on slack.

The student's question should be answered in the moment.

Incentive professor-students interaction, easing fast solving questions."
12,117,"Whenever they have a problem they can come to me. And I tell them, don't spend too much time Googling stuff. If you don't understand something, ask me if, if you don't understand what I presented, then I didn't present it in a way that you could connect with it. [...] Everybody learns differently.",Take time to hear student's feedbacks very openly and give them your feedback too.
13,117,"I'm always asking you the last factor. I'm always taking almost an hour to, as a student. Just give me your feedback. Like, like very openly, right? That's you should all give me a feedback again.

Each week we had, uh, four hours of, uh, lectures and answering questions from students and, and, uh, making, making some points about the course more clear.","Separate time to answer students questions, each week, four hours, lectures and answering questions, making some points about the course more clear.

Do not teach deeply some hard technologies like Kubernetes."
8,118,I like to make them feel a little bit of pain before I give them the solution. So I will have them to run their test cases.,"Don't give the solution right away, let them reach it first for themselves."
10,118,The thing I've done to try to avoid a little bit of the mess is I want to go gradual. I want to be gradual in the class. So first I teach compilation and testing. Then I teach continuous integration. team A is going to build one piece team B is going to build another piece that depends upon what team is built.,"Teach DevOps giving the content gradually, like first teach compilation and testing, then continuous integration; do not give everything right away so easily."
8,119,"I'll have them run their test cases manually. And then when someone makes a pull request, I'm like, well, you need to clone that, run the test case. [...] And then [.. ] I show them how to [...] automatically run the test cases. [...] And so they write all the test cases. And then, and then I, I teach them about code coverage. I said, it's not about the test passing. If the code coverage go down, then somebody code it without writing a test case, don't merge that pull-request, right? So I'm teaching this whole culture, right? This way of working. [...] Then finally we push it to the cloud. We set up CD pipelines to deploy things in the cloud","Write some tests cases manually, do pull requests, do test automation with CI, write all test cases, teach code coverage. Then finally setup CD pipeline to deploy the application in the cloud."
8,120,"So sometimes a student will say to me: professor, what do I do if another student is like not pulling their weight on the team?, And I say: when you go to a job interview, you're going to be asked the question, tell me about a time when a member of your team wasn't pulling their weight. And what did you do to get them excited and to contribute again, today's the day to go write that story. Today's the data to write the answer to that question.

You need to sit together and experience because if you can't work as a team, you're not gonna make it right out in industry because we want team players. I don't want heroes. I don't want people who saved the day. I want people who mentor each other.","Make the group motivation a responsibility of themselves, students should motivate each other.

Teaching how to students mentor each other is one of the most important things and must be a priority."
8,121,"Do they understand what the cloud is? It'd be great if there was a cloud course before mine, but there isn't.",It'd be great if there was a Cloud course before DevOps course.
10,121,It's an option that we give them the year before too preparing them.,Prepare students with previous courses.
8,122,"so I don't care if you using windows or using Mac or whatever you're using. We're all going to learn a bunch of Linux and we're going to deploy all our stuff, using a bunch of it and use all the tools in a bunch of.",Use Linux operational system.
8,123,"We use Vagrant and VirtualBox. And so I don't care if you using windows or using Mac or whatever you're using.

I selected Vagrant and virtualbox because they're both free. ... so I had to change the class for them to use Docker and VirtualBox. 

They call my repo, Vagrant up and they're up and running. And so that's how I solve that problem. Bigger. It does a very good job of solving that consistent environments for students.","Vagrant and VirtualBox are useful to create consistent development environment.

I selected Vagrant and virtualbox because they're free.

Make environment setup consistent between students using Vagrant."
8,124,I selected Vagrant and virtualbox because they're both free. ... so I had to change the class for them to use Docker and VirtualBox.,I selected docker docker because it is free.
10,124,We build Docker images.,Docker can be chosen as DevOps tool.
14,124,"Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff.

I want to be able to deploy it with containers. So it can be, um, through Kubernetes, it can be through Docker.","Use tools like Docker to have more control on support the deployment.

Use Docker as container deployment tool adopted by the course."
8,125,"We use selenium to, to work on the, uh, on the UI, as a browser.",Use Selenium to automate UI tests.
11,125,We use Selenium for test automation.,Use Selenium for test automation.
8,126,"Students will ask me, can I use a different test suite? Can I use, you know, something different? And I'll say, well, you can, but then it's up to you to figure out how it integrates back into everything.",Students could use other tools non-taught without professor support.
12,126," So it's rather simple that we, we let them, of course use the programming language. They want to develop the application. So, you know, the department, I think traditional were quite open with respect to that in the department. Yes. Java is still used, but students, these days, don't like Java. Um, they prefer Python. They prefer different things. So for us, we don't care, right? The application we give them when we gave them the HVAC application, we give them, uh, I think they have, I should even look myself, but I think we, we created two versions, one, it says Java version.

So we support them to the Travis CI. We support them with a certain number of things, but if they want to choose something else, it's okay. I mean, but you know, they have to understand that we won't necessarily support them.","Do not force students to use a single language like Java.

Give students the freedom to choose other tools they want, but make it clear that these tools will not be supported by teachers during the class"
13,126,"We asked them to choose a tool, uh, on internet and new tool, and then use that tool and show other students how that works. So, uh, we didn't have some predefined, uh, projects.

Just find whatever they want to find and work on whatever they want to work on and let them be free since that was our goal in this course, uh, we let them choose, um, novel technologies, the technologies and the tools that are being used, uh, today and the tools that are being developed today. ","The students choose the tools and the projects freely on internet.

Let the students be free about the used tools and technologies."
14,126,"We decided to let the student choose and said, okay, you have your option and do what you want, but you're responsible of doing it.

It was a graduate course, I started not to, uh, enforce given tools ... I want you to have a version control system that should be git, but git up, gitlab Bitbucket, Bitbucket on premises. ...  you can justify and defend each step of what's happening to your code in the context of devops.","Give the responsibility to the student to chose the system and also the responsibility of what they are doing.

Do not enforce given tools on a graduate course. The students should justify and defend each step of what's happening to their code in the context of devops."
8,127,"   People use an Argo CD to do continuous delivery. They used to be using Jenkins. So do you still teach Jenkins? Do you teach them Argo? Um, so it's a constant, um, improvement on the tools are what tools are popular, what tools are going to get them a job in the industry, right? ",Argo CD is a more current continuous delivery tool than Jenkins.
8,128,"I'm going to watch your Kanban board every week.

 I don't give quizzes because I'm grading them every day, watching their Kanban boards, seeing how they're working, interacting with them on slack. ","Teach Kanban board.

You don't need quizzes if you grade the students continuously watching their Kanban boards."
12,128," I built kind of a fictitious company [...] based on my experience [...]  the students work in groups of three [...]  in the first lab, they have to set up their environment [...] We bring them also to, to build, uh, two small applications that actually extract, um, data from the Kanban, uh, in GitHub using the GitHub APIs, because I want the students to one that very important aspect of DevOps is the continuous improvement. So if you want, you have to apply the same principles to the process that you're applying to your product.

We enforce the usage of, of the, of the Kanban, because it's an important practice in devops to make the work visible and stuff.

Make the students realize that the Kanban has certain information for a certain purpose. Um, if I want to analyze my process, I may extract information from the Kanban that will tell me about, you know, the time that I spent in the development phase or in the, in the review phase and things like that.","Create a fictitious company based on experience for students to practice continuous improvement, creating applications, extracting data from Kanban.

Use Kanban to make the work visible in devops.

Make the students realize that the Kanban has certain information for analyzing the overall process."
8,129,"I actually last semester I prepared something on Sunday. And when I got Wednesday, when we had the class and I went to the cloud, the cloud had changed. [...] we're pushing to the IBM cloud the other night and it said there's an, there's a new update available for the tool. Uh, you know, version two, it may have breaking changes. And I said, timeout, nobody press, yes, everybody press no, because that's not the version I used on the weekend.",Check if the the labs work well always before start the class.
9,129,"I'm usually maybe a couple of weeks out verifying something for an upcoming, an upcoming session.",Verify if labs exercises are working before classes.
10,129,"The second recommendation is update your exercises often. ... you can get everything set up.

So you have to have your stack ready, but you have to update it with the current version of the software that you intend the students to use fairly close to the beginning of the session, if you don't want to be surprised.","Update your exercises often to get everything set up.

Update your exercises frequently."
8,130,"So without having, uh, physically having a technical assistance in the class and I do have TA's on with my zoom and they do help students over slack, uh, to get things going.",Teacher assistence help students over slack managing questions.
13,130,"We had a long Google doc that the students during the lectures and after the lectures, students could add their questions there. And then we, the TAs could answer the questions, uh, in the doc. ",Use Google Docs during the lectures so students could add their questions. Teacher Assistants could answer the questions in the doc.
8,131,"Then I give them two exams. So the team is 40% of their grade. The exams are 60% a midterm that's 30 and a, and a final that's 30.","So the team is 40% of their grade. The exams are 60% a midterm that's 30 and a, and a final that's 30."
8,132,"I try to get the student more engaged.... If they're not having fun, then we're, we're doing it wrong. So, so I'm making sure they're having fun.",Try to get the student having fun in order to keep them engaged.
8,133,"In that assessment, you know, that they're, um, there are 50 multiple choice questions in each exam, no partial credit. Um, and, and so, and I give, and it's an hour, uh, you know, to go do that exam. ...  we're remote now.",50 multiple choice questions in one hour each exam if you are remote.
12,133,"The book I have quiz, uh, again, it could be translated and adjusted, but that's the way to, to test in the exams. ...  one part is exactly quiz questions. So they have multiple choices.

If I was asking you the question and say, give me the three benefits of this thought of this, uh, concept, then it's memorization. But if I give them five, if I give you five choices and they could be between zero and five, that are true statements with respect to this concept, it's not about memorization. It's about understanding.

If the exam is in presence, then I don't care that much if, if they do the control that before, because ultimately they have to understand, I think that these quizzes to me have a specific objective.","Use quiz in the book to test in the exams with multiple choices.

Multiple-choice format questions about DevOps concepts favor the understanding instead of memorization of the students.

Quizzes forces students to understand the concepts."
8,134,"the exams are open book, right? I, I, when I'm in the classroom, they're not open book, but for, for the remote learning, they have to be open book. I just can't enforce it.",Exams in remote class format are with the open book.
9,136,"we had cloud computing, where can easily stand up virtual machines for people and things like that.",Cloud computing make easier to stand up virtual machines.
9,137,"People coming through the programs want to play with technology. That's half the reason we got into this field in the first place, and it's a really fun thing to be able to do, but it's not sufficient. And trying to change that mindset to emphasize more the idea of devops as a means of continuous improvement, as a means of organizational change. As a, to some extent I use this phrase guardedly, but to some extent, a philosophy around how the organization is going to go from concept to implementation, that's a much harder set of skills to pick up.

The global approach made sure the students not associated with devops with a CI/CD pipeline, because in my opinion, it's all about continuous improvement.","Make clear the importance of the DevOps mindset like continuous improvement in constrast to using the tools.

Continuous improvement is a key DevOps concept."
12,137,"This mindset of thinking of continuous improvement is so important, right?  ... the improvement of the daily work is more important than the work itself.

What should I improve to make my process more efficient? So to me, this is the most important thing of DevOps. And, and, and then you do it through automation, automation of, of the deployment process, automation of, of, you know, the testing process automation later of the security, uh, thing and so on.","The mindset of thinking of continuous improvement is so important because the improvement of the daily work is more important than the work itself.

The most importart thing of DevOps is to improve my process continuously through automation of the deployment process."
